,Unnamed: 0,Deposit type,Description
94,94,Metamorphic graphite,"Metamorphic graphite deposits are also known as Flake graphite, amorphous graphite. They belong to the general deposit group of Metamorphic deposits. The deposit environment is typically Metamorphic. Genetically related features of typical Metamorphic graphite deposits include: Regional metamorphic belts. Metamorphic graphite type mineral deposits are also known as USGS deposit model number 37f. Metamorphic graphite type mineral deposits are also known as Disseminated flake graphite.  Metamorphic graphite deposits, also known as flake graphite deposits, are significant within the context of regional metamorphic environments, specifically in terrains that have undergone upper amphibolite to granulite facies metamorphism. These deposits occur predominantly in paragneiss and marble, occasionally in quartzite, iron formation, pegmatite, syenite, and rarely in serpentinized ultramafic rocks. Graphite in these deposits is found as disseminated flakes within the host rocks, and its crystalline, large-flake size makes it commercially valuable. Typical grades are around 2-3% graphite, although higher concentrations, up to 15%, are found near paragneiss-marble contacts, as in the Hartwell prospect in Quebec. These deposits are linked to regional metamorphic belts associated with significant geological structures like fold belts, with mineralization age closely tied to the metamorphism of the host rocks. Ore bodies in these deposits usually feature evenly distributed graphite flakes with potential concentration along structural features such as fold crests. Alteration is complex, with porphyroblastic textures and skarn mineralogy evident at marble-paragneiss contacts. High-grade zones typically align with structural and lithological contacts, often accompanied by retrograde metamorphic minerals. Metamorphic graphite deposits are distinguished from vein-type graphite deposits and amorphous graphite; the former originates from C-H-O fluid precipitation, characterized by open-space fillings, while the latter results from the metamorphism of coal. The high-quality crystalline flake graphite from these deposits is economically significant, particularly for high-technology applications. Extraction involves open-pit mining, followed by processes like flotation to achieve high-purity graphite concentrates. The geological setting, ore characteristics, and robust structural controls make metamorphic graphite deposits a distinct and valuable resource within metamorphic terrains."
95,95,Metamorphic kyanite,"Metamorphic kyanite deposits belong to the general deposit group of Metamorphic deposits. The deposit environment is typically Metamorphic. Genetically related features of typical Metamorphic kyanite deposits include: Regional metamorphic belts. Metamorphic kyanite type mineral deposits are also known as USGS deposit model number 37c. Metamorphic kyanite type mineral deposits are also known as Gneiss-hosted kyanite Au.  Metamorphic kyanite deposits are distinct mineral deposits that primarily occur within regional metamorphic belts, typically in areas that have undergone significant tectonic activity. These deposits are characteristically hosted in high-grade metamorphic rocks such as gneiss, schist, and quartzite, which arise from the metamorphism of sedimentary and igneous precursors under high-pressure and temperature conditions. The primary commodity extracted from these deposits is kyanite, an aluminosilicate mineral, with potential co-products including sillimanite and andalusite, which are also part of the aluminosilicate group. The grade of kyanite deposits can vary significantly depending on the degree of metamorphism and the abundance of kyanite-rich layers within the host rock, with typical deposits containing several million tons of ore. Physically, these deposits are often found in mountainous terrains, reflective of the compressive tectonic settings required for their formation, such as continental collision zones. The age of mineralization varies widely but generally corresponds to periods of significant tectonic activity in the host region, frequently dating back to the Proterozoic or earlier. Ore bodies are typically stratiform, conforming to the foliation of the host metamorphic rocks, and can exhibit zonal patterns where kyanite-rich bands are intercalated with other metamorphic mineral assemblages. Alteration processes like recrystallization and textural changes are common due to the high-pressure environment. Ore control is often linked to the original sedimentary layering and subsequent deformation features such as folding and faulting, which can concentrate kyanite in specific zones. These structural controls are significant in distinguishing metamorphic kyanite deposits from other mineral deposits, as they emphasize the role of intense metamorphism and deformation in their genesis. This distinctive geological setting not only controls the mineral assemblage but also impacts the mining methods and economic viability of these deposits."
96,96,Low Iron alkali-calcic,"Low Iron alkali-calcic deposits belong to the general deposit group of Alkali-calcic deposits. The deposit environment is typically Regional metasomatic. Genetically related features of typical Low Iron alkali-calcic deposits include: Continental arc or rift, mafic to felsic or alkalic magmatism, sedimentary basins, dilatant faults, magmatic and basinal or lacustrine brines, iron alkali calcic metasomatism, high amplitude magnetic, gravity, and MT anomalies.  Low Iron alkali-calcic deposits are distinguished by their unique geological features and mineralization settings. These deposits typically occur within continental rifts or arcs, influenced by mafic to felsic or alkalic magmatism, and are often associated with sedimentary basins and structural complexities like dilatant faults. The characteristic rock types include granitic to syenitic intrusions, with mafic wall rocks experiencing significant metasomatism. These deposits are marked by low iron content accompanied by significant mineral assemblages such as molybdenum and rhenium, as seen in Mo-Re enriched sites like the Merlin deposit. The grade and tonnage of these deposits tend to be substantial, with high-grade ore presenting in breccias and vein systems. Mineralization typically occurs in specific geological settings where magmatic and basinal brines interact, leading to extensive metasomatic alteration with initial Na-(Ca) metasomatism followed by K-feldspar and chlorite overprints. Ore control in these deposits is prominently influenced by lithological contacts and faults, accentuated by high amplitude magnetic, gravity, and MT anomalies which provide essential clues during exploration. The deposits formed across a broad geological time frame, albeit with a noteworthy concentration in the Mesoproterozoic as seen in the case of the Merlin deposit. The tectonic settings are primarily associated with significant magmatic events lacking direct causative linkage but correlating peripherally with significant batholithic intrusions. This distinct mineral, geochemical, and structural distinction sets Low Iron alkali-calcic deposits apart from more iron-rich systems like IOCG (Iron Oxide Copper Gold) deposits by emphasizing compositions and mineral assemblages that favor molybdenum and rhenium over copper and gold. Understanding these nuanced geological features is crucial for effective exploration and development of Low Iron alkali-calcic deposits."
97,97,Albitite-hosted uranium,"Albitite-hosted uranium deposits are also known as Albitite-type metasomatic U. They belong to the general deposit group of Alkali-calcic deposits. The deposit environment is typically Regional metasomatic. Genetically related features of typical Albitite-hosted uranium deposits include: Continental arc or rift, mafic to felsic or alkalic magmatism, sedimentary basins, dilatant faults, magmatic and basinal or lacustrine brines, iron alkali calcic metasomatism, high amplitude magnetic, gravity, and MT anomalies.  Albitite-hosted uranium deposits are distinctive in their geological setting and characteristics, primarily featuring regional metasomatic processes within continental arc or rift environments. These deposits are associated with mafic to felsic or alkalic magmatic activity and are typically located within sedimentary basins. The host rocks are predominantly composed of albitites, which result from extensive sodic metasomatism, altering the original composition through the influx of sodium-rich fluids. The primary ore type is uranium, often found in the form of uraninite or other uranium minerals closely associated with silicic, hematitic, and carbonatized alterations. Regarding grade and tonnage, these deposits can vary significantly, but they often contain low to moderate grades of uranium distributed over large tonnages. Key physiographic features include their occurrence in areas with high amplitude magnetic, gravity, and magnetotelluric (MT) anomalies, indicative of the present metasomatic processes. The age of mineralization can be quite varied, occurring over a broad geological timescale, but often involves Proterozoic to Phanerozoic events. Ore bodies are typically elongate or tabular and controlled by structural features such as dilatant faults and shear zones that allow for the concentration and movement of mineralizing fluids. These structures act as conduits for magmatic and basinal or lacustrine brines, which contribute to the iron-alkali-calcic metasomatism pivotal in ore deposition. The tectonic setting is characterized by extensional regimes often associated with continental rifting or within-trench settings of continental arcs, which provide both the structural framework and thermal energy necessary for the extensive alteration and mineralization processes. These aspects, combined with their unique metasomatic alteration and structural controls, distinguish Albitite-hosted uranium deposits from other types of uranium and alkali-calcic deposits."
98,98,Ferroan carbonate polymetallic,"Ferroan carbonate polymetallic deposits belong to the general deposit group of Metasomatic iron deposits. The deposit environment is typically Regional metasomatic. Genetically related features of typical Ferroan carbonate polymetallic deposits include: Continental arc or rift, mafic to felsic or alkalic magmatism, sedimentary basins, dilatant faults, magmatic and basinal or lacustrine brines, iron alkali calcic metasomatism, high amplitude magnetic, gravity, and MT anomalies.  Ferroan carbonate polymetallic deposits are distinctive metasomatic iron deposits characterized by their formation in regional metasomatic environments, often associated with continental arc or rift settings. These deposits typically arise from mafic to felsic or alkalic magmatism in proximity to sedimentary basins, and their genesis involves complex interactions between magmatic and basinal or lacustrine brines. The host rocks for these deposits predominantly include carbonate rocks, such as limestone or dolomite, which undergo extensive iron alkali-calcic metasomatism, leading to the formation of ferroan (iron-rich) carbonate minerals. The ore types are polymetallic, often containing economically significant quantities of iron, copper, lead, zinc, silver, and occasionally gold. The deposits can exhibit high-grade ores with significant tonnage, though specific grade and tonnage can vary widely among deposits. Physically, they are often found in areas with pronounced structural complexity, including dilatant faults that act as conduits for mineralizing fluids. Tectonically, these deposits are frequently aligned with magmatic arcs or rift zones where substantial crustal differentiation occurs. The age of mineralization can range widely depending on the tectonic setting and magmatic evolution history of the region. Alteration patterns are marked by pronounced iron alkali-calcic metasomatism and associated skarn or carbonate replacement signatures. Unlike other deposit types, these polymetallic systems exhibit high amplitude magnetic, gravity, and magnetotelluric anomalies due to their mineral assemblages and structural settings. Orebody shapes are often irregular with complex zoning patterns reflecting the highly dynamic fluid flow regimes within the host rocks. Collectively, these features underscore the unique genesis and geological characteristics of Ferroan carbonate polymetallic deposits, distinguishing them from other mineral deposit types through their particular combination of geological, chemical, and structural attributes."
99,99,Iron sulfide polymetallic,"Iron sulfide polymetallic deposits are also known as ISCG. They belong to the general deposit group of Metasomatic iron deposits. The deposit environment is typically Regional metasomatic. Genetically related features of typical Iron sulfide polymetallic deposits include: Continental arc or rift, mafic to felsic or alkalic magmatism, sedimentary basins, dilatant faults, magmatic and basinal or lacustrine brines, iron alkali calcic metasomatism, high amplitude magnetic, gravity, and MT anomalies.  Iron sulfide polymetallic deposits, or ISCG deposits, are characterized by their formation within regional metasomatic environments, often linked to continental arc or rift settings. These deposits typically form in association with mafic to felsic or alkalic magmatism in sedimentary basins, influenced by magmatic and basinal or lacustrine brines. Geologically, ISCG deposits are noted for their iron alkali calcic metasomatism, producing high amplitude magnetic, gravity, and magnetotelluric anomalies. The ore types primarily comprise iron sulfides, such as pyrite and pyrrhotite, accompanied by polymetallic components including copper, lead, zinc, and occasionally gold and silver. These deposits are often hosted in metamorphosed sedimentary and volcanic rocks and are distinguished by their substantial tonnage potential, though iron ore grades can vary. The alteration typically involves extensive iron and alkali metasomatism, with mineral assemblages indicative of high-temperature hydrothermal systems often juxtaposed with regional structural controls like dilatant faults which act as conduits for mineralizing fluids. Commonly, deposits may appear in elongate or lens-like orebodies that align with regional tectonic stresses. The physicographic expression of such deposits correlates with complex geotectonic settings where crustal thickening, uplifts, or extension regimes encourage substantial metasomatic activity, often near major fault zones. These deposits may vary in age, but many are associated with significant tectonic events that drive magmatism and associated fluid movements. Distinguishing ISCG deposits from other deposit types is the combination of their multisourced mineralization, regional metasomatic influences, and their strong geophysical signatures, coupled with their relationship to significant geodynamic processes resulting from tectonic activity often at convergent or divergent plate boundaries."
100,100,Iron silicate polymetallic,"Iron silicate polymetallic deposits belong to the general deposit group of Metasomatic iron deposits. The deposit environment is typically Regional metasomatic. Genetically related features of typical Iron silicate polymetallic deposits include: Continental arc or rift, mafic to felsic or alkalic magmatism, sedimentary basins, dilatant faults, magmatic and basinal or lacustrine brines, iron alkali calcic metasomatism, high amplitude magnetic, gravity, and MT anomalies.  Iron silicate polymetallic deposits are distinct metasomatic iron deposits that usually form in regional metasomatic environments. They are typically associated with continental arc or rift settings, where magmatism varies from mafic to felsic or even alkalic types. These deposits are often linked with large sedimentary basins and dilatant fault systems which facilitate the movement of magmatic and basinal or lacustrine brines. The predominant ore minerals in these deposits include iron silicates and other polymetallic elements, often associated with notable commodities such as copper, gold, zinc, and occasionally rare earth elements. The ore bodies can exhibit a wide range of geometries, often dictated by structural controls and the permeability of the host rock. Physiographically, these deposits might be found in mountainous regions where sufficient tectonic activity has occurred. They typically feature high amplitude magnetic, gravity, and magnetotelluric (MT) anomalies, integral for exploration. Major rock types include altered host rocks that undergo iron alkali calcic metasomatism, which is evident through mineralogical changes and the development of skarn minerals depending on the proximity to intrusive bodies. Alteration typically involves calc-silicate minerals like garnet, pyroxene, and amphibole, demonstrating extensive fluid-rock interaction. The age of mineralization for these deposits can be diverse, depending on the tectonic setting, but many are associated with Paleozoic to Mesozoic orogenic events. Ore control is often linked to the presence of large intrusive bodies and the interaction with basin-derived fluids. Structurally, these deposits often occur in complex faulted terrains where tectonic uplift has exposed deeper sections of the crust conducive to metasomatic processes. The unique combination of tectonic setting, rock type, and geophysical signatures distinguishes iron silicate polymetallic deposits from other mineral deposit types."
101,101,Iron oxide polymetallic,"Iron oxide poly-metallic deposits belong to the general deposit group of Metasomatic iron deposits. The deposit environment is typically Regional metasomatic. Genetically related features of typical Iron oxide poly-metallic deposits include: Continental arc or rift, mafic to felsic or alkalic magmatism, sedimentary basins, dilatant faults, magmatic and basinal or lacustrine brines, iron alkali calcic metasomatism, high amplitude magnetic, gravity, and MT anomalies.  Iron oxide polymetallic deposits present distinct geological features that differentiate them from other mineral deposit types. They are typically found in continental arc or rift settings, with a geological association with both mafic to felsic or alkalic magmatic rocks and significant tectonic activity, often in conjunction with sedimentary basins. These settings are conducive to the deposition of polymetallic ores, where iron oxides like hematite and magnetite prevail, complemented by valuable secondary metals such as copper, gold, silver, uranium, and occasionally rare earth elements (REE). These deposits are considerable in size, with substantial iron oxide mineralization and varying concentrations of various metals. The age of mineralization ranges from the Proterozoic to recent periods, largely dictated by the tectonic regime. The deposits typically manifest as large, tabular to massive orebodies, exhibiting extensive alteration, including iron alkali-calcic metasomatism within broad regional metasomatic systems driven by magmatic and basinal or lacustrine brines. Structural controls are pivotal, with dilatant faults and shear zones serving as primary pathways for mineralization, often linked to large-scale tectonic structures. Tectonic settings generally include active continental margins or rift zones with a magmatic influence from nearby intrusions. Geophysical characteristics feature high magnetic and gravity anomalies, attributable to the high iron oxide content and associated dense minerals. This distinct geophysical signature, combined with the mineralogical complexity and metasomatic alteration, marks iron oxide polymetallic deposits as unique within the landscape of mineral deposits, setting them apart through their specific geological setting and the diversity of their metal assemblage. For a deeper exploration and comparative analysis, consulting targeted literature on specific iron oxide deposits is recommended."
102,102,Iron oxide uranium,"Iron oxide uranium deposits belong to the general deposit group of Metasomatic iron deposits. The deposit environment is typically Regional metasomatic. Genetically related features of typical Iron oxide uranium deposits include: Continental arc or rift, mafic to felsic or alkalic magmatism, sedimentary basins, dilatant faults, magmatic and basinal or lacustrine brines, iron alkali calcic metasomatism, high amplitude magnetic, gravity, and MT anomalies.  Iron oxide uranium deposits, often characterized by their association with metasomatic processes, exhibit distinctive geological features setting them apart from other mineral deposits. These deposits predominantly form in settings marked by continental arcs or rift environments, where magmatism ranges from mafic to felsic or alkalic in nature, which significantly contributes to their genesis. The presence of sedimentary basins and dilatant faults acts as crucial conduits for mineralizing fluids. These environments facilitate the flow of magmatic, basinal, or lacustrine brines, rich in iron, alkali, and calcic components, which promote pronounced metasomatic alterations. The deposits typically manifest high amplitude magnetic, gravity, and magnetotelluric (MT) anomalies due to their substantial iron oxide content. The rock types encountered in these deposits frequently include altered felsic intrusive rocks, mafic volcanic rocks, and the associated breccias. Ore minerals frequently include uranium-bearing minerals in association with iron oxides like magnetite and hematite, often intergrown with rare earth elements. Grades and tonnages can be variable, but large deposits often exhibit substantial uranium content alongside high concentrations of hematite or magnetite, providing considerable economic interest. These deposits are primarily Proterozoic to Phanerozoic in age and are noted for their complex alteration halos. Alteration typically comprises extensive iron alkali calcic metasomatism. Structural controls include large, steeply dipping faults and fractures which act as pathways for mineralizing fluids. In terms of tectonic setting, they are predominantly related to regions with significant crustal extension and magmatic activity, which facilitates the requisite fluid flow and alteration. The combination of specific magmatic associations, robust alteration patterns, and significant structural and fluid involvement distinguishes Iron oxide uranium deposits within the broader spectrum of mineral deposit types, making them a unique and economically significant geological phenomenon."
103,103,Iron oxide gold,"Iron oxide gold deposits belong to the general deposit group of Metasomatic iron deposits. The deposit environment is typically Regional metasomatic. Genetically related features of typical Iron oxide gold deposits include: Continental arc or rift, mafic to felsic or alkalic magmatism, sedimentary basins, dilatant faults, magmatic and basinal or lacustrine brines, iron alkali calcic metasomatism, high amplitude magnetic, gravity, and MT anomalies.  Iron oxide gold (IOG) deposits, a subset of metasomatic iron deposits, are distinct mineral systems characterized by their unique geological features. They predominantly occur in regions of continental arc or rift environments where mafic to felsic or alkalic magmatism is common. These deposits are often associated with sedimentary basins and dilatant faults that facilitate fluid flow. The ore types typically include valuable gold concentrations accompanied by iron oxides such as magnetite and hematite, alongside varying amounts of copper, uranium, rare earth elements (REE), and other base metals. These deposits feature high-grade gold with tonnages that vary from a few million to over 100 million tons. Physiographically, they are found at various elevations, influenced by the regional tectonics. The age of mineralization can vary significantly, but notable examples are hosted in Proterozoic to Phanerozoic rocks. Orebodies are generally tabular or pipe-like and are found in complex structural settings often controlled by regional shear zones or faults. Alteration assemblages are dominated by extensive iron-alkali-calcic metasomatism, including intense potassic, sodic, and iron alteration, creating high amplitude magnetic and gravity anomalies detectable by geophysical methods. The structural and tectonic settings are critical, as they are typically found in areas with dynamic and complex geological histories, often within tectonically active regions with significant magmatic activity. These features, combined with the presence of magmatic and basinal or lacustrine brines, play a crucial role in the ore genesis, setting IOG deposits apart from other types of mineral deposits through their distinctive geophysical signatures, extensive alteration zones, and significant economic metal associations. Such deposits are prized for not only their gold content but also their propensity to contain economically significant concentrations of other critical elements."
104,104,Hematite-dominant IOCG,"Hematite-dominant IOCG deposits belong to the general deposit group of IOCG deposits. The deposit environment is typically Regional metasomatic. Genetically related features of typical Hematite-dominant IOCG deposits include: Continental arc or rift, mafic to felsic or alkalic magmatism, sedimentary basins, dilatant faults, magmatic and basinal or lacustrine brines, iron alkali calcic metasomatism, high amplitude magnetic, gravity, and MT anomalies. Hematite-dominant IOCG type mineral deposits are also known as USGS deposit model number 29b. Hematite-dominant IOCG type mineral deposits are also known as Olympic Dam Cu-U-Au.  Hematite-dominant Iron Oxide Copper Gold (IOCG) deposits, as exemplified by the Olympic Dam deposit, are notable for their unique geological features that distinguish them from other types of mineral deposits. These deposits are characterized by significant amounts of hematite and often include other minerals such as chalcopyrite, bornite, chalcocite, and native copper, alongside economically valuable byproducts like uranium, gold, and rare earth elements. The hosting rock types are typically associated with continental arc or rift tectonic settings, featuring a wide range of igneous lithologies from mafic to felsic or alkalic compositions, often influenced by significant metasomatic alteration. These alterations can result in the pervasive presence of iron, alkali, and calcic metasomatism, contributing to the deposit’s high magnetic and gravity anomalies. Common ore control structures include dilatant faults and breccia zones, which facilitate the channelling and concentration of ore-forming fluids, often derived from magmatic and basin-related sources. Hematite-dominant IOCG deposits typically present a significant range in grade and tonnage, with some of the largest deposits containing billions of tonnes of ore with copper grades often ranging from 0.5 to 1.5%, alongside appreciable levels of uranium and gold. The age of mineralization is generally Precambrian, with many deposits forming in the Proterozoic eon, highlighting ancient geotectonic processes that govern their formation. The physiography of such deposits is generally low to moderate relief due to their association with ancient cratonic or precursor margin settings. The alteration halo surrounding these deposits is often extensive and includes minerals such as sericite, chlorite, and carbonates, indicative of the complex fluid interactions within the deposit environment. Overall, Hematite-dominant IOCG deposits are integral to understanding the diverse genesis of mineral deposits, with their size, metal richness, and distinct geological characteristics marking them as particularly unique and economically significant."
105,105,Magnetite-dominant IOCG,"Magnetite-dominant IOCG deposits belong to the general deposit group of IOCG deposits. The deposit environment is typically Regional metasomatic. Genetically related features of typical Magnetite-dominant IOCG deposits include: Continental arc or rift, mafic to felsic or alkalic magmatism, sedimentary basins, dilatant faults, magmatic and basinal or lacustrine brines, iron alkali calcic metasomatism, high amplitude magnetic, gravity, and MT anomalies.  Magnetite-dominant Iron Oxide Copper Gold (IOCG) deposits are distinctive due to their diverse geological features and their occurrence in tectonically active settings, such as continental arcs or rifts. These deposits are typically associated with regional metasomatic processes that result in significant iron alteration, characterized predominately by magnetite with lesser amounts of hematite. They are often found in tectonic settings featuring mafic to felsic or alkalic magmatism, which play a crucial role in their genesis. The host rocks for these deposits can include a wide range of rock types such as volcanic, plutonic, and sedimentary, with common association with sizeable sedimentary basins and dilatant fault systems that provide the structural conduits for mineralizing fluids. Ore types primarily consist of magnetite, with the potential for economic concentrations of copper, gold, and other commodities like uranium, silver, and rare earth elements. These deposits exhibit substantial grades of iron and varying grades of copper and gold, with some deposits reaching significant tonnages and grades, making them economically attractive. Alteration haloes around the deposits often include iron alkali-calcic metasomatism, which involves the pervasive introduction of elements such as potassium, sodium, calcium, and iron. High amplitude magnetic, gravity, and magnetotelluric (MT) anomalies are geophysical signatures used for their exploration. Structures that control mineralization tend to include shears, breccias, and faults, which are integral to orebody shape and distribution. The age of mineralization varies widely, reflecting a linkage to diverse geological events across different terranes. The physiography of the settings where these deposits occur can range significantly, often adapting to the regional topography. These distinctive features collectively distinguish Magnetite-dominant IOCG deposits from other mineral deposit types such as porphyry or sediment-hosted deposits, highlighting their unique and complex genesis."
106,106,Hematite-dominant IOA,"Hematite-dominant IOA deposits belong to the general deposit group of IOA deposits. The deposit environment is typically Regional metasomatic. Genetically related features of typical Hematite-dominant IOA deposits include: Continental arc or rift, mafic to felsic or alkalic magmatism, sedimentary basins, dilatant faults, magmatic and basinal or lacustrine brines, iron alkali calcic metasomatism, high amplitude magnetic, gravity, and MT anomalies.  Hematite-dominant Iron Oxide-Apatite (IOA) deposits are significant geological entities characterized by their distinct formation environments and geological features. These deposits predominantly contain the mineral hematite as the principal ore type, often accompanied by magnetite, and are sometimes enriched with accessory minerals such as apatite, alluding to their distinctive mineralogical signature. The primary commodity extracted from these deposits is iron, which is hosted within a variety of rock types including volcanic and volcaniclastic sequences, sediments, and intrusive magmatic complexes. Hematite-dominant IOA deposits typically exhibit high-grade iron mineralization with substantial tonnage, underpinning their economic importance. They form in tectonic settings associated with continental arcs or rift environments, where mafic to felsic or, occasionally, alkalic magmatism is prevalent. This setting facilitates metasomatic processes, where iron, alkali, and calcium-rich fluids alter host rocks, marked by characteristic iron alkali calcic metasomatism. These deposits often portray distinctive geophysical signatures, including high-amplitude magnetic, gravity, and magnetotelluric (MT) anomalies, due to their dense and magnetic mineral content. In terms of age, these deposits can range broadly, from early Proterozoic to Cenozoic, aligning with the tectonic evolution of their host regions. Structurally, they are often controlled by dilatant faults, which provide pathways for ore-forming fluids and facilitate orebody localization. Alterations such as sodic, potassic, and silicic are typical, reflecting the complex interaction between host rocks and infiltrating fluids. The physiography of these deposits often aligns with regions of substantial tectonic uplift and erosion, which bring them closer to the surface. This compilation of characteristics distinguishes Hematite-dominant IOA deposits from other mineral deposit types, such as Banded Iron Formations (BIFs) or Skarn deposits, highlighting their unique geological blueprint and economic potential."
107,107,Magnetite-dominant IOA,"Magnetite-dominant IOA deposits belong to the general deposit group of IOA deposits. The deposit environment is typically Regional metasomatic. Genetically related features of typical Magnetite-dominant IOA deposits include: Continental arc or rift, mafic to felsic or alkalic magmatism, sedimentary basins, dilatant faults, magmatic and basinal or lacustrine brines, iron alkali calcic metasomatism, high amplitude magnetic, gravity, and MT anomalies.  Magnetite-dominant Iron Oxide-Apatite (IOA) deposits are distinctive mineral repositories found in diverse geological environments and are primarily defined by their significant magnetite content. These deposits are often associated with a variety of igneous rock types, including felsic to mafic compositions such as syenite, diorite, and gabbro, alongside alkalic rocks. The primary ore mineral is magnetite, sometimes accompanied by apatite and minor hematite, which forms the basis of the iron commodity extracted. Additionally, these deposits may contain economically significant elements like vanadium, titanium, and phosphorus. Magnetite-dominant IOA deposits are frequently located in stable continental arc settings or within regions with historical tectonic activity, such as rift environments. The age of mineralization spans from the Precambrian to the Phanerozoic, reflecting the complex geological evolution of their host regions. Ore bodies are generally massive with high tonnage, and while grades can vary, they are typically considered mid to high in magnetite concentration. The alteration processes are characterized by alkali metasomatism and significant iron enrichment, resulting from extensive interactions with magmatic and basinal or lacustrine brines. Structurally, these deposits are often controlled by dilatant faults, fractures, and shear zones, which act as conduits for mineralizing fluids. Tectonically, they are linked to subduction-related continental arcs or post-orogenic extensional settings with substantial magmatic activity. A distinguishing feature of Magnetite-dominant IOA deposits is the pronounced magnetic and gravity anomalies, primarily due to the sizeable magnetite presence and the extensive metasomatic alteration of host rocks, setting them apart from traditional sedimentary iron formations."
108,108,Mafic-ultramafic VMS,"Mafic-ultramafic VMS deposits are also known as Volcanic-hosted massive sulfide (VHMS), volcanic-associated massive sulfide (VAMS), seafloor massive sulfide (SMS), Cyprus-type. They belong to the general deposit group of Volcanogenic massive sulfide (VMS) deposits. The deposit environment is typically Volcanic basin hydrothermal. Genetically related features of typical Mafic-ultramafic VMS deposits include: Oceanic rift or arc volcanism, ±fluid exsolution, dilatant faults, convecting seawater, seafloor vents. Mafic-ultramafic VMS type mineral deposits are also known as USGS deposit model number 24a. Mafic-ultramafic VMS type mineral deposits are also known as Massive sulfide, Cyprus.  Mafic-ultramafic volcanic-hosted massive sulfide (VMS) deposits, commonly known as Cyprus-type deposits, exhibit distinctive geological features that set them apart from other mineral deposits. These deposits primarily occur within oceanic mafic to ultramafic volcanic sequences, often associated with ophiolitic rock assemblages. Host rocks typically include basaltic pillow lavas, sheeted dykes, and ultramafic cumulates such as gabbros and peridotites. The ore profiles are characterized by copper-rich massive sulfides predominantly composed of minerals like pyrite, chalcopyrite, and pyrrhotite, with potential traces of nickel due to ultramafic affinities. They also occasionally contain sphalerite but generally exhibit a high copper to zinc ratio with negligible lead content, distinguishing them from other VMS types like Kuroko deposits. In terms of grade and tonnage, these deposits are generally smaller, often less than 15 million tonnes, yet they possess high copper concentrations. Geographically, they are typically found in mid-ocean ridges or back-arc basin settings and are inherently linked to volcanic centers within extensional tectonic environments. Mineralization often dates from the Paleozoic to Mesozoic eras, manifesting in ophiolite complexes, though older Precambrian examples exist. Mafic-ultramafic VMS deposits typically present as tabular or stratiform copper-rich sulfide lenses, formed through extensive hydrothermal alteration processes such as chloritization, silicification, and, in some cases, sericitization. The ore is controlled by volcanic structures and syn-volcanic faults, which direct hydrothermal fluids. These deposits are typically situated in supra-subduction zone environments, associated with ophiolitic complexes that have undergone obduction. The combination of formation within oceanic crust, high Cu/Zn ratios, and absence of significant lead distinguish them as valuable sources of copper and secondary nickel, and they remain historically significant for their economic contribution, as epitomized by the ancient Cyprus deposits."
109,109,Mafic-siliciclastic VMS,"Mafic-siliciclastic VMS deposits are also known as Volcanic-hosted mas-sive sulfide (VHMS), volcanic-associated massive sulfide (VAMS), seafloor massive sulfide (SMS), Besshi-type. They belong to the general deposit group of Volcanogenic massive sulfide (VMS) deposits. The deposit environment is typically Volcanic basin hydrothermal. Genetically related features of typical Mafic-siliciclastic VMS deposits include: Oceanic rift or arc volcanism, ±fluid exsolution, dilatant faults, convecting seawater, seafloor vents. Mafic-siliciclastic VMS type mineral deposits are also known as USGS deposit model number 24b. Mafic-siliciclastic VMS type mineral deposits are also known as Massive sulfide, Besshi (Japanese deposits).  Mafic-siliciclastic VMS deposits, often exemplified by Besshi-type deposits, are unique volcanic-related mineral systems distinguished by their geological setting and formation processes. These deposits typically occur within a marine sedimentary sequence of black shales and sedimentary rocks associated with mafic volcanic rocks, indicating their formation in tectonically active environments like oceanic ridges or back-arc basins. One of their defining characteristics is the presence of massive sulfide minerals such as pyrite, pyrrhotite, chalcopyrite, sphalerite, and galena, primarily yielding commodities like copper, zinc, and sometimes lead. In terms of scale, they can vary significantly, with some deposits being vast, such as Windy Craggy in British Columbia, with reserves reaching several hundred million tonnes. The age of mineralization spans an extensive range, from the Proterozoic through to the present, reflecting their adaptability to various geological epochs. Structurally, these deposits present as stratiform, lenticular orebodies that align parallel to the host rock's stratification and frequently associate with structural elements like dilatant faults, which enhance hydrothermal fluid circulation. Alteration features, notably chloritization and silicification, are prominent near mineralization zones and play a vital role in ore localization. Unlike other VMS types, such as those linked to bimodal volcanic settings, Mafic-siliciclastic VMS deposits are distinct for their lesser association with felsic volcanism and greater affinity with sedimentary processes. This distinction is critical in differentiating them from other VMS deposits, which have variable metal contents and alteration patterns tied closely to volcanic influences. Understanding these unique geological signatures aids in the exploration and classification of this specific mineral deposit type."
