,Deposit group,Description,Deposit types,Genetically related features ,Deposit environment,label
38,Porphyry,"The Porphyry deposit group includes deposits such as Alkali-feldspar rhyolite- granite porphyry molybdenum; high- fluorine porphyry molybdenum, Alkaline porphyry copper, Arc-related porphyry molybdenum; low- fluorine stockwork molybdenite, Calc-alkaline porphyry copper, Climax-type porphyry molybdenum, Intrusion-related gold, Low-fluorine porphyry molybdenum, Porphyry copper ± gold, Porphyry copper- molybdenum, Porphyry gold ± copper, Porphyry tin, Porphyry tungsten. The deposit environment is typically Magmatic hydrothermal. Genetically related features of typical Porphyry deposits include: Arc or rift, alkaline volcano- plutonic center, magmatic fluid, alkali and hydrolytic metasomatism, Arc, magnetite series, calc- alkaline volcano-plutonic center, magmatic fluid, alkali and hydrolytic metasomatism, Continental arc, back arc, or hinterland, felsic magmatism of ilmenite series, calc-alkaline volcano-plutonic center, magmatic fluid, alkali and hydrolytic metasomatism, Continental back arc or hinter- land, felsic magmatism of ilmenite to magnetite series, calc-alkaline volcano-plutonic center, magmatic fluid, alkali and hydrolytic metasomatism, Continental back arc, or hinterland, felsic S-type volcano- plutonic center, magmatic fluid, alkali and hydrolytic metasomatism, Continental rift, hydrous bimodal magmatism, A-type volcano- plutonic center, magmatic fluid. ","Alkali-feldspar rhyolite- granite porphyry molybdenum; high- fluorine porphyry molybdenum, Alkaline porphyry copper, Arc-related porphyry molybdenum; low- fluorine stockwork molybdenite, Calc-alkaline porphyry copper, Climax-type porphyry molybdenum, Intrusion-related gold, Low-fluorine porphyry molybdenum, Porphyry copper ± gold, Porphyry copper- molybdenum, Porphyry gold ± copper, Porphyry tin, Porphyry tungsten","Arc or rift, alkaline volcano- plutonic center, magmatic fluid, alkali and hydrolytic metasomatism, Arc, magnetite series, calc- alkaline volcano-plutonic center, magmatic fluid, alkali and hydrolytic metasomatism, Continental arc, back arc, or hinterland, felsic magmatism of ilmenite series, calc-alkaline volcano-plutonic center, magmatic fluid, alkali and hydrolytic metasomatism, Continental back arc or hinter- land, felsic magmatism of ilmenite to magnetite series, calc-alkaline volcano-plutonic center, magmatic fluid, alkali and hydrolytic metasomatism, Continental back arc, or hinterland, felsic S-type volcano- plutonic center, magmatic fluid, alkali and hydrolytic metasomatism, Continental rift, hydrous bimodal magmatism, A-type volcano- plutonic center, magmatic fluid",Magmatic hydrothermal,Porphyry
39,Replacement,"The Replacement deposit group includes deposits such as Crystalline magnesite, Replacement copper, Replacement fluorite, Replacement gold-silver, Replacement magnesium, Replacement manganese, Replacement polymetallic, Replacement tin, Replacement zinc-lead, Sulfide manto Au. The deposit environment is typically Magmatic hydrothermal. Genetically related features of typical Replacement deposits include: Arc, magnetite series, calc- alkaline volcano-plutonic center, magmatic fluid, alkali and hydrolytic metasomatism, Continental back arc or hinterland, S-type volcano-plutonic center, magmatic fluid, alkali and hydrolytic metasomatism, Occurs in more than one system type. ","Crystalline magnesite, Replacement copper, Replacement fluorite, Replacement gold-silver, Replacement magnesium, Replacement manganese, Replacement polymetallic, Replacement tin, Replacement zinc-lead, Sulfide manto Au","Arc, magnetite series, calc- alkaline volcano-plutonic center, magmatic fluid, alkali and hydrolytic metasomatism, Continental back arc or hinterland, S-type volcano-plutonic center, magmatic fluid, alkali and hydrolytic metasomatism, Occurs in more than one system type",Magmatic hydrothermal,Replacement
40,Sediment-hosted,"The Sediment-hosted deposit group includes deposits such as Irish-type sediment- hosted zinc- lead, Kipushi, salt dome, Kipushi-type sediment- hosted copper- zinc-lead, Metamorphosed SEDEX, CD, Sullivan-type, Broken Hill-type (BHT), Sedex, CD, McArthur, bedded, Sediment-hosted Cu- Ag-Co, shale-hosted Cu, Kupferschiefer- type, redbed Cu, Sediment-hosted copper ± Co, Siliciclastic- carbonate zinc-lead, Siliciclastic-mafic
 barite, Siliciclastic-mafic zinc-lead. The deposit environment is typically Basin hydrothermal. Genetically related features of typical Sediment-hosted deposits include: Continental rift (or passive margin) basin, sag phase, carbonate shelf and siliciclastic slope sequences, arid climate, evaporites, growth faults, basin brine, alkali and magnesium metasomatism, seafloor vents, Continental rift basin, fill phase, turbidite sequences, arid climate, evaporites, growth faults, mafic magmatism, basinal brine, alkali and magnesium metasomatism, seafloor vents, Continental rift basin, initial phase, conglomerates and siliciclastics, arid climate, evaporites, basin brine, growth faults, salt tectonics, alkali and magnesium metasomatism, Continental rift basin, initial phase, volcanics, conglomerates and siliciclastics, arid climate, evaporites, basin brine, growth faults, salt tectonics, alkali and magnesium metasomatism. ","Irish-type sediment- hosted zinc- lead, Kipushi, salt dome, Kipushi-type sediment- hosted copper- zinc-lead, Metamorphosed SEDEX, CD, Sullivan-type, Broken Hill-type (BHT), Sedex, CD, McArthur, bedded, Sediment-hosted Cu- Ag-Co, shale-hosted Cu, Kupferschiefer- type, redbed Cu, Sediment-hosted copper ± Co, Siliciclastic- carbonate zinc-lead, Siliciclastic-mafic
 barite, Siliciclastic-mafic zinc-lead","Continental rift (or passive margin) basin, sag phase, carbonate shelf and siliciclastic slope sequences, arid climate, evaporites, growth faults, basin brine, alkali and magnesium metasomatism, seafloor vents, Continental rift basin, fill phase, turbidite sequences, arid climate, evaporites, growth faults, mafic magmatism, basinal brine, alkali and magnesium metasomatism, seafloor vents, Continental rift basin, initial phase, conglomerates and siliciclastics, arid climate, evaporites, basin brine, growth faults, salt tectonics, alkali and magnesium metasomatism, Continental rift basin, initial phase, volcanics, conglomerates and siliciclastics, arid climate, evaporites, basin brine, growth faults, salt tectonics, alkali and magnesium metasomatism",Basin hydrothermal,Sediment-hosted
41,Skarn,"The Skarn deposit group includes deposits such as Intrusion-related gold, Skarn beryllium- fluorite, Skarn copper, Skarn gold ± copper ± tungsten, Skarn iron, Skarn molybdenum, Skarn tin ± copper ± Mo, Skarn tungsten ± Mo, Skarn uranium- REE, Skarn zinc-lead-
 silver. The deposit environment is typically Magmatic hydrothermal. Genetically related features of typical Skarn deposits include: Continental back arc or hinterland, S-type volcano-plutonic center, magmatic fluid, alkali and hydrolytic metasomatism, Continental rift, hydrous bimodal magmatism, A-type volcano- plutonic center, magmatic fluid, Occurs in more than one system type, Peralkaline volcano-plutonic center. ","Intrusion-related gold, Skarn beryllium- fluorite, Skarn copper, Skarn gold ± copper ± tungsten, Skarn iron, Skarn molybdenum, Skarn tin ± copper ± Mo, Skarn tungsten ± Mo, Skarn uranium- REE, Skarn zinc-lead-
 silver","Continental back arc or hinterland, S-type volcano-plutonic center, magmatic fluid, alkali and hydrolytic metasomatism, Continental rift, hydrous bimodal magmatism, A-type volcano- plutonic center, magmatic fluid, Occurs in more than one system type, Peralkaline volcano-plutonic center",Magmatic hydrothermal,Skarn
42,Supergene,"The Supergene deposit group includes deposits such as Non-sulfide Zn, oxi- dized Zn (Pb), Regolith gold, Supergene copper, Supergene gold, Supergene iron, Supergene lead, Supergene manganese, Supergene silver, Supergene uranium, Supergene vanadium, Supergene zinc. The deposit environment is typically Supergene. Genetically related features of typical Supergene deposits include: Variable climate, unsaturated zone, preexisting Ag-rich mineralization, water table, Variable climate, unsaturated zone, preexisting Au-rich mineralization, water table, Variable climate, unsaturated zone, preexisting Cu-rich mineralization, water table, Variable climate, unsaturated zone, preexisting Fe-rich mineralization, water table, Variable climate, unsaturated zone, preexisting Mn-rich mineralization, water table, Variable climate, unsaturated zone, preexisting Pb-rich mineralization, water table, Variable climate, unsaturated zone, preexisting U-rich mineralization, water table, Variable climate, unsaturated zone, preexisting V-rich mineralization, water table, Variable climate, unsaturated zone, preexisting Zn-rich mineralization, water table. ","Non-sulfide Zn, oxi- dized Zn (Pb), Regolith gold, Supergene copper, Supergene gold, Supergene iron, Supergene lead, Supergene manganese, Supergene silver, Supergene uranium, Supergene vanadium, Supergene zinc","Variable climate, unsaturated zone, preexisting Ag-rich mineralization, water table, Variable climate, unsaturated zone, preexisting Au-rich mineralization, water table, Variable climate, unsaturated zone, preexisting Cu-rich mineralization, water table, Variable climate, unsaturated zone, preexisting Fe-rich mineralization, water table, Variable climate, unsaturated zone, preexisting Mn-rich mineralization, water table, Variable climate, unsaturated zone, preexisting Pb-rich mineralization, water table, Variable climate, unsaturated zone, preexisting U-rich mineralization, water table, Variable climate, unsaturated zone, preexisting V-rich mineralization, water table, Variable climate, unsaturated zone, preexisting Zn-rich mineralization, water table",Supergene,Supergene
43,Ultramafic and (or) mafic conduit,"The Ultramafic and (or) mafic conduit deposit group includes deposits such as Flood basalt Ni-Cu- PGE, ferropicrite Ni-Cu-PGE, picrite- tholeiite N-Cu-PGE, U-M conduit nickel-copper- PGE. The deposit environment is typically Magmatic. Genetically related features of typical Ultramafic and (or) mafic conduit deposits include: Continental rift or plume, high degree mantle melts, LIP, ultramafic-mafic sills, dikes, chonoliths. ","Flood basalt Ni-Cu- PGE, ferropicrite Ni-Cu-PGE, picrite- tholeiite N-Cu-PGE, U-M conduit nickel-copper- PGE","Continental rift or plume, high degree mantle melts, LIP, ultramafic-mafic sills, dikes, chonoliths",Magmatic,Ultramafic and (or) mafic conduit
44,Ultramafic and (or) mafic intrusion,"The Ultramafic and (or) mafic intrusion deposit group includes deposits such as Alaskan-type, uralian-
 type, Alaskan-type, uralian- type, picrite-tholeiite Ni-Cu-PGE, Arc U-M intru- sion nickel- copper-PGE, Arc U-M intrusion titanium- vanadium, Impact U-M intrusion nickel- copper-PGE, Impact melt Ni-Cu-PGE, U-M intrusion nickel-copper- PGE. The deposit environment is typically Magmatic. Genetically related features of typical Ultramafic and (or) mafic intrusion deposits include: Continental rift or plume, high degree mantle melts, LIP, ultramafic-mafic stock or pluton (maybe zoned), Convergent margin, ultramafic-mafic magmatic center, Meteorite impact, ultramaficmafic magmatism. ","Alaskan-type, uralian-
 type, Alaskan-type, uralian- type, picrite-tholeiite Ni-Cu-PGE, Arc U-M intru- sion nickel- copper-PGE, Arc U-M intrusion titanium- vanadium, Impact U-M intrusion nickel- copper-PGE, Impact melt Ni-Cu-PGE, U-M intrusion nickel-copper- PGE","Continental rift or plume, high degree mantle melts, LIP, ultramafic-mafic stock or pluton (maybe zoned), Convergent margin, ultramafic-mafic magmatic center, Meteorite impact, ultramaficmafic magmatism",Magmatic,Ultramafic and (or) mafic intrusion
45,Ultramafic and (or) mafic-layered intrusion,"The Ultramafic and (or) mafic-layered intrusion deposit group includes deposits such as Contact-type, Reef-type and (or) brecciated, U-M layered intrusion
 iron-titanium- vanadium, U-M layered intrusion PGE, U-M layered intrusion chromium, U-M layered intrusion nickel- copper-PGE. The deposit environment is typically Magmatic. Genetically related features of typical Ultramafic and (or) mafic-layered intrusion deposits include: Continental rift or plume, high degree mantle melts, LIP, ultramafic-mafic layered intrusion. ","Contact-type, Reef-type and (or) brecciated, U-M layered intrusion
 iron-titanium- vanadium, U-M layered intrusion PGE, U-M layered intrusion chromium, U-M layered intrusion nickel- copper-PGE","Continental rift or plume, high degree mantle melts, LIP, ultramafic-mafic layered intrusion",Magmatic,Ultramafic and (or) mafic-layered intrusion
46,Unconformity- related,"The Unconformity- related deposit group includes deposits such as Unconformity- related REE, Unconformity- related ura- nium. The deposit environment is typically Basin hydrothermal. Genetically related features of typical Unconformity- related deposits include: Unconformity, epicontinental basin fill, arid climate, evaporites, basin brine, extensional faults, alkali and magnesium metasomatism. ","Unconformity- related REE, Unconformity- related ura- nium","Unconformity, epicontinental basin fill, arid climate, evaporites, basin brine, extensional faults, alkali and magnesium metasomatism",Basin hydrothermal,Unconformity- related
47,Uranium,"The Uranium deposit group includes deposits such as Calcrete uranium, Carbonate uranium, Coal/peat/bog uranium, Roll front, and others, Sandstone uranium, Surficial uranium, evaporite uranium. The deposit environment is typically Infiltrational. Genetically related features of typical Uranium deposits include: Infiltration of surface water, aquifers, preexisting volcanic ash-bearing sedimentary rocks, lacustrine evaporite, Infiltration of surface water, aquifers, preexisting volcanic ash-bearing sedimentary rocks, redox interface. ","Calcrete uranium, Carbonate uranium, Coal/peat/bog uranium, Roll front, and others, Sandstone uranium, Surficial uranium, evaporite uranium","Infiltration of surface water, aquifers, preexisting volcanic ash-bearing sedimentary rocks, lacustrine evaporite, Infiltration of surface water, aquifers, preexisting volcanic ash-bearing sedimentary rocks, redox interface",Infiltrational,Uranium
48,Vein,"The Vein deposit group includes deposits such as Avebury-style Ni, ophiolite-hosted Ni, hydrothermal Ni, Bolivian-type, Cornwall-type, Fluorspar, Hydrothermal Ni-Co-As, Vein cobalt ± Ni, Vein copper, Vein fluorite, Vein polymetallic, Vein tin, Vein tin polymetallic, Vein tungsten, Vein ± replacement nickel. The deposit environment is typically Magmatic hydrothermal. Genetically related features of typical Vein deposits include: Continental back arc or hinterland, S-type volcano-plutonic center, magmatic fluid, alkali and hydrolytic metasomatism, Occurs in more than one system type. ","Avebury-style Ni, ophiolite-hosted Ni, hydrothermal Ni, Bolivian-type, Cornwall-type, Fluorspar, Hydrothermal Ni-Co-As, Vein cobalt ± Ni, Vein copper, Vein fluorite, Vein polymetallic, Vein tin, Vein tin polymetallic, Vein tungsten, Vein ± replacement nickel","Continental back arc or hinterland, S-type volcano-plutonic center, magmatic fluid, alkali and hydrolytic metasomatism, Occurs in more than one system type",Magmatic hydrothermal,Vein
49,Volcanic-hosted,"The Volcanic-hosted deposit group includes deposits such as Volcanic-hosted copper, Volcanic-red bed copper; basaltic copper. The deposit environment is typically Basin hydrothermal. Genetically related features of typical Volcanic-hosted deposits include: Continental rift basin, initial phase, volcanics, conglomerates, and siliciclastics, arid climate, evaporites, basin brine, growth faults, salt tectonics, alkali and magnesium metasomatism. ","Volcanic-hosted copper, Volcanic-red bed copper; basaltic copper","Continental rift basin, initial phase, volcanics, conglomerates, and siliciclastics, arid climate, evaporites, basin brine, growth faults, salt tectonics, alkali and magnesium metasomatism",Basin hydrothermal,Volcanic-hosted
50,Volcanogenic,"The Volcanogenic deposit group includes deposits such as Algoma-type banded iron formation, Franciscan, Cuban, Olympic Peninsula, and Cyprus manga- nese, Volcanogenic iron formation, Volcanogenic manganese. The deposit environment is typically Volcanic basin hydrothermal. Genetically related features of typical Volcanogenic deposits include: Oceanic rift or arc volcanism, ±fluid exsolution, dilatant faults, convecting seawater, seafloor vents. ","Algoma-type banded iron formation, Franciscan, Cuban, Olympic Peninsula, and Cyprus manga- nese, Volcanogenic iron formation, Volcanogenic manganese","Oceanic rift or arc volcanism, ±fluid exsolution, dilatant faults, convecting seawater, seafloor vents",Volcanic basin hydrothermal,Volcanogenic
51,Volcanogenic massive sulfide (VMS),"The Volcanogenic massive sulfide (VMS) deposit group includes deposits such as Bimodal felsic VMS, Bimodal-mafic
 VMS, Felsic-siliciclastic VMS, Mafic-siliciclastic
 VMS, Mafic-ultramafic VMS, Volcanic-hosted mas- sive sulfide (VHMS), volcanic-associated massive sulfide (VAMS), seafloor massive sulfide (SMS), Bathhurst- type, Iberian-type, Volcanic-hosted mas- sive sulfide (VHMS), volcanic-associated massive sulfide (VAMS), seafloor massive sulfide (SMS), Besshi-type, Volcanic-hosted mas- sive sulfide (VHMS), volcanic-associated massive sulfide (VAMS), seafloor massive sulfide (SMS), Kuroko-type, Volcanic-hosted mas- sive sulfide (VHMS), volcanic-associated massive sulfide (VAMS), seafloor massive sulfide (SMS), Noranda-type, Volcanic-hosted massive sulfide (VHMS), volcanic-associated massive sulfide (VAMS), seafloor massive sulfide (SMS), Cyprus-type. The deposit environment is typically Volcanic basin hydrothermal. Genetically related features of typical Volcanogenic massive sulfide (VMS) deposits include: Oceanic rift or arc volcanism, ±fluid exsolution, dilatant faults, convecting seawater, seafloor vents. ","Bimodal felsic VMS, Bimodal-mafic
 VMS, Felsic-siliciclastic VMS, Mafic-siliciclastic
 VMS, Mafic-ultramafic VMS, Volcanic-hosted mas- sive sulfide (VHMS), volcanic-associated massive sulfide (VAMS), seafloor massive sulfide (SMS), Bathhurst- type, Iberian-type, Volcanic-hosted mas- sive sulfide (VHMS), volcanic-associated massive sulfide (VAMS), seafloor massive sulfide (SMS), Besshi-type, Volcanic-hosted mas- sive sulfide (VHMS), volcanic-associated massive sulfide (VAMS), seafloor massive sulfide (SMS), Kuroko-type, Volcanic-hosted mas- sive sulfide (VHMS), volcanic-associated massive sulfide (VAMS), seafloor massive sulfide (SMS), Noranda-type, Volcanic-hosted massive sulfide (VHMS), volcanic-associated massive sulfide (VAMS), seafloor massive sulfide (SMS), Cyprus-type","Oceanic rift or arc volcanism, ±fluid exsolution, dilatant faults, convecting seawater, seafloor vents",Volcanic basin hydrothermal,Volcanogenic massive sulfide (VMS)
52,Zeolite,"The Zeolite deposit group includes deposits such as Lacustrine zeolite (± Li, B). The deposit environment is typically Basin evaporative. Genetically related features of typical Zeolite deposits include: Closed lacustrine drainage basin, arid climate, salt flats, volcanic rocks. ","Lacustrine zeolite (± Li, B)","Closed lacustrine drainage basin, arid climate, salt flats, volcanic rocks",Basin evaporative,Zeolite
