,Deposit type,Description,Synonym,Deposit environment,Deposit group,Genetically related features ,label
72,Volcanic-hosted copper,"Volcanic-hosted copper deposits are also known as Volcanic-red bed copper; basaltic copper. They belong to the general deposit group of Volcanic-hosted deposits. The deposit environment is typically Basin hydrothermal. Genetically related features of typical Volcanic-hosted copper deposits include: Continental rift basin, initial phase, volcanics, conglomerates, and siliciclastics, arid climate, evaporites, basin brine, growth faults, salt tectonics, alkali and magnesium metasomatism. ",Volcanic-red bed copper; basaltic copper,Basin hydrothermal,Volcanic-hosted,"Continental rift basin, initial phase, volcanics, conglomerates, and siliciclastics, arid climate, evaporites, basin brine, growth faults, salt tectonics, alkali and magnesium metasomatism",Volcanic-hosted copper
73,Sediment-hosted copper ± Co,"Sediment-hosted copper ± Co deposits are also known as Sediment-hosted Cu- Ag-Co, shale-hosted Cu, Kupferschiefer- type, redbed Cu. They belong to the general deposit group of Sediment-hosted deposits. The deposit environment is typically Basin hydrothermal. Genetically related features of typical Sediment-hosted copper ± Co deposits include: Continental rift basin, initial phase, volcanics, conglomerates and siliciclastics, arid climate, evaporites, basin brine, growth faults, salt tectonics, alkali and magnesium metasomatism. ","Sediment-hosted Cu- Ag-Co, shale-hosted Cu, Kupferschiefer- type, redbed Cu",Basin hydrothermal,Sediment-hosted,"Continental rift basin, initial phase, volcanics, conglomerates and siliciclastics, arid climate, evaporites, basin brine, growth faults, salt tectonics, alkali and magnesium metasomatism",Sediment-hosted copper ± Co
74,Siliciclastic-mafic zinc-lead,"Siliciclastic-mafic zinc-lead deposits are also known as Metamorphosed SEDEX, CD, Sullivan-type, Broken Hill-type (BHT). They belong to the general deposit group of Sediment-hosted deposits. The deposit environment is typically Basin hydrothermal. Genetically related features of typical Siliciclastic-mafic zinc-lead deposits include: Continental rift basin, fill phase, turbidite sequences, arid climate, evaporites, growth faults, mafic magmatism, basinal brine, alkali and magnesium metasomatism, seafloor vents. ","Metamorphosed SEDEX, CD, Sullivan-type, Broken Hill-type (BHT)",Basin hydrothermal,Sediment-hosted,"Continental rift basin, fill phase, turbidite sequences, arid climate, evaporites, growth faults, mafic magmatism, basinal brine, alkali and magnesium metasomatism, seafloor vents",Siliciclastic-mafic zinc-lead
75,"Siliciclastic-mafic
 barite","Siliciclastic-mafic
 barite deposits belong to the general deposit group of Sediment-hosted deposits. The deposit environment is typically Basin hydrothermal. Genetically related features of typical Siliciclastic-mafic
 barite deposits include: Continental rift basin, fill phase, turbidite sequences, arid climate, evaporites, growth faults, mafic magmatism, basinal brine, alkali and magnesium metasomatism, seafloor vents. ",,Basin hydrothermal,Sediment-hosted,"Continental rift basin, fill phase, turbidite sequences, arid climate, evaporites, growth faults, mafic magmatism, basinal brine, alkali and magnesium metasomatism, seafloor vents","Siliciclastic-mafic
 barite"
76,Siliciclastic- carbonate zinc-lead,"Siliciclastic- carbonate zinc-lead deposits are also known as Sedex, CD, McArthur, bedded. They belong to the general deposit group of Sediment-hosted deposits. The deposit environment is typically Basin hydrothermal. Genetically related features of typical Siliciclastic- carbonate zinc-lead deposits include: Continental rift (or passive margin) basin, sag phase, carbonate shelf and siliciclastic slope sequences, arid climate, evaporites, growth faults, basin brine, alkali and magnesium metasomatism, seafloor vents. ","Sedex, CD, McArthur, bedded",Basin hydrothermal,Sediment-hosted,"Continental rift (or passive margin) basin, sag phase, carbonate shelf and siliciclastic slope sequences, arid climate, evaporites, growth faults, basin brine, alkali and magnesium metasomatism, seafloor vents",Siliciclastic- carbonate zinc-lead
77,Irish-type sediment- hosted zinc- lead,"Irish-type sediment- hosted zinc- lead deposits belong to the general deposit group of Sediment-hosted deposits. The deposit environment is typically Basin hydrothermal. Genetically related features of typical Irish-type sediment- hosted zinc- lead deposits include: Continental rift (or passive margin) basin, sag phase, carbonate shelf and siliciclastic slope sequences, arid climate, evaporites, growth faults, basin brine, alkali and magnesium metasomatism, seafloor vents. ",,Basin hydrothermal,Sediment-hosted,"Continental rift (or passive margin) basin, sag phase, carbonate shelf and siliciclastic slope sequences, arid climate, evaporites, growth faults, basin brine, alkali and magnesium metasomatism, seafloor vents",Irish-type sediment- hosted zinc- lead
78,Kipushi-type sediment- hosted copper- zinc-lead,"Kipushi-type sediment- hosted copper- zinc-lead deposits are also known as Kipushi, salt dome. They belong to the general deposit group of Sediment-hosted deposits. The deposit environment is typically Basin hydrothermal. Genetically related features of typical Kipushi-type sediment- hosted copper- zinc-lead deposits include: Continental rift basin, initial phase, conglomerates and siliciclastics, arid climate, evaporites, basin brine, growth faults, salt tectonics, alkali and magnesium metasomatism. ","Kipushi, salt dome",Basin hydrothermal,Sediment-hosted,"Continental rift basin, initial phase, conglomerates and siliciclastics, arid climate, evaporites, basin brine, growth faults, salt tectonics, alkali and magnesium metasomatism",Kipushi-type sediment- hosted copper- zinc-lead
79,MVT zinc-lead,"MVT zinc-lead deposits belong to the general deposit group of Mississippi Valley- type (MVT) deposits. The deposit environment is typically Basin hydrothermal. Genetically related features of typical MVT zinc-lead deposits include: Contractional orogeny, foreland basin, forebulge faults, arid climate, evaporites, basin brine, alkali and magnesium metasomatism. ",,Basin hydrothermal,Mississippi Valley- type (MVT),"Contractional orogeny, foreland basin, forebulge faults, arid climate, evaporites, basin brine, alkali and magnesium metasomatism",MVT zinc-lead
80,MVT barite,"MVT barite deposits belong to the general deposit group of Mississippi Valley- type (MVT) deposits. The deposit environment is typically Basin hydrothermal. Genetically related features of typical MVT barite deposits include: Contractional orogeny, foreland basin, forebulge faults, arid climate, evaporites, basin brine, alkali and magnesium metasomatism. ",,Basin hydrothermal,Mississippi Valley- type (MVT),"Contractional orogeny, foreland basin, forebulge faults, arid climate, evaporites, basin brine, alkali and magnesium metasomatism",MVT barite
81,MVT fluorspar,"MVT fluorspar deposits belong to the general deposit group of Mississippi Valley- type (MVT) deposits. The deposit environment is typically Basin hydrothermal. Genetically related features of typical MVT fluorspar deposits include: Contractional orogeny, foreland basin, forebulge faults, arid climate, evaporites, basin brine, alkali and magnesium metasomatism. ",,Basin hydrothermal,Mississippi Valley- type (MVT),"Contractional orogeny, foreland basin, forebulge faults, arid climate, evaporites, basin brine, alkali and magnesium metasomatism",MVT fluorspar
82,MVT strontium,"MVT strontium deposits belong to the general deposit group of Mississippi Valley- type (MVT) deposits. The deposit environment is typically Basin hydrothermal. Genetically related features of typical MVT strontium deposits include: Contractional orogeny, foreland basin, forebulge faults, arid climate, evaporites, basin brine, alkali and magnesium metasomatism. ",,Basin hydrothermal,Mississippi Valley- type (MVT),"Contractional orogeny, foreland basin, forebulge faults, arid climate, evaporites, basin brine, alkali and magnesium metasomatism",MVT strontium
83,Sandstone-hosted zinc-lead,"Sandstone-hosted zinc-lead deposits belong to the general deposit group of Mississippi Valley- type (MVT) deposits. The deposit environment is typically Basin hydrothermal. Genetically related features of typical Sandstone-hosted zinc-lead deposits include: Contractional orogeny, foreland basin, forebulge faults, arid climate, evaporites, basin brine, alkali and magnesium metasomatism. ",,Basin hydrothermal,Mississippi Valley- type (MVT),"Contractional orogeny, foreland basin, forebulge faults, arid climate, evaporites, basin brine, alkali and magnesium metasomatism",Sandstone-hosted zinc-lead
84,Non-sulfide zinc-lead ± Mn,Non-sulfide zinc-lead ± Mn deposits are also known as Oxide zinc. They belong to the general deposit group of Non-sulfide deposits. The deposit environment is typically Basin hydrothermal. Genetically related features of typical Non-sulfide zinc-lead ± Mn deposits include: More oxidized and (or) metamorphosed equivalents of features noted in the previous row. ,Oxide zinc,Basin hydrothermal,Non-sulfide,More oxidized and (or) metamorphosed equivalents of features noted in the previous row,Non-sulfide zinc-lead ± Mn
85,Vein five-element,"Vein five-element deposits are also known as Ag-Bi-Co-Ni arsenide. They belong to the general deposit group of Five-element deposits. The deposit environment is typically Basin hydrothermal. Genetically related features of typical Vein five-element deposits include: Crystalline basement, extensional faults, basin brine, natural gas, redox interface, hydrolytic ± CO2 metasomatism, arsenides, regional iron and alkalicalcic metasomatism. ",Ag-Bi-Co-Ni arsenide,Basin hydrothermal,Five-element,"Crystalline basement, extensional faults, basin brine, natural gas, redox interface, hydrolytic ± CO2 metasomatism, arsenides, regional iron and alkalicalcic metasomatism",Vein five-element
86,Hypozonal orogenic gold,"Hypozonal orogenic gold deposits are also known as Mesothermal gold; low- sulfide gold-quartz- vein, shear zone gold. They belong to the general deposit group of Orogenic deposits. The deposit environment is typically Metamorphic hy- drothermal. Genetically related features of typical Hypozonal orogenic gold deposits include: Contractional orogen, metamorphic belts, dilatant structures, metamorphic fluid, hydrolytic, CO2, H2S metasomatism. ","Mesothermal gold; low- sulfide gold-quartz- vein, shear zone gold",Metamorphic hy- drothermal,Orogenic,"Contractional orogen, metamorphic belts, dilatant structures, metamorphic fluid, hydrolytic, CO2, H2S metasomatism",Hypozonal orogenic gold
87,Mesozonal orogenic gold,"Mesozonal orogenic gold deposits are also known as Mesothermal gold; low- sulfide gold-quartz- vein, shear zone gold. They belong to the general deposit group of Orogenic deposits. The deposit environment is typically Metamorphic hy- drothermal. Genetically related features of typical Mesozonal orogenic gold deposits include: Contractional orogen, metamorphic belts, dilatant structures, metamorphic fluid, hydrolytic, CO2, H2S metasomatism. ","Mesothermal gold; low- sulfide gold-quartz- vein, shear zone gold",Metamorphic hy- drothermal,Orogenic,"Contractional orogen, metamorphic belts, dilatant structures, metamorphic fluid, hydrolytic, CO2, H2S metasomatism",Mesozonal orogenic gold
88,Epizonal orogenic gold,"Epizonal orogenic gold deposits are also known as Refractory orogenic gold, Carlin-style gold. They belong to the general deposit group of Orogenic deposits. The deposit environment is typically Metamorphic hydrothermal. Genetically related features of typical Epizonal orogenic gold deposits include: Contractional orogen, metamorphic belts, dilatant structures, metamorphic fluid, hydrolytic, CO2, H2S metasomatism. ","Refractory orogenic gold, Carlin-style gold",Metamorphic hydrothermal,Orogenic,"Contractional orogen, metamorphic belts, dilatant structures, metamorphic fluid, hydrolytic, CO2, H2S metasomatism",Epizonal orogenic gold
89,Epizonal orogenic antimony ± gold,"Epizonal orogenic antimony ± gold deposits belong to the general deposit group of Orogenic deposits. The deposit environment is typically Metamorphic hydrothermal. Genetically related features of typical Epizonal orogenic antimony ± gold deposits include: Contractional orogen, metamorphic belts, dilatant structures, metamorphic fluid, hydrolytic, CO2, ± H2S metasomatism. ",,Metamorphic hydrothermal,Orogenic,"Contractional orogen, metamorphic belts, dilatant structures, metamorphic fluid, hydrolytic, CO2, ± H2S metasomatism",Epizonal orogenic antimony ± gold
90,Epizonal orogenic mercury,"Epizonal orogenic mercury deposits belong to the general deposit group of Orogenic deposits. The deposit environment is typically Metamorphic hydrothermal. Genetically related features of typical Epizonal orogenic mercury deposits include: Contractional orogen, metamor- phic belts, dilatant structures, metamorphic fluid, hydrolytic, CO2, ± H2S metasomatism. ",,Metamorphic hydrothermal,Orogenic,"Contractional orogen, metamor- phic belts, dilatant structures, metamorphic fluid, hydrolytic, CO2, ± H2S metasomatism",Epizonal orogenic mercury
91,Orogenic silver-lead- zinc-copper- antimony,"Orogenic silver-lead- zinc-copper- antimony deposits belong to the general deposit group of Orogenic deposits. The deposit environment is typically Metamorphic hydrothermal. Genetically related features of typical Orogenic silver-lead- zinc-copper- antimony deposits include: Contractional orogen, metamorphic belts, dilatant structures, metamorphic fluid, hydrolytic, CO2, ± H2S, ± alkali metasomatism. ",,Metamorphic hydrothermal,Orogenic,"Contractional orogen, metamorphic belts, dilatant structures, metamorphic fluid, hydrolytic, CO2, ± H2S, ± alkali metasomatism",Orogenic silver-lead- zinc-copper- antimony
92,Orogenic copper ± gold,"Orogenic copper ± gold deposits belong to the general deposit group of Orogenic deposits. The deposit environment is typically Metamorphic hydrothermal. Genetically related features of typical Orogenic copper ± gold deposits include: Contractional orogen, metamorphic belts, dilatant structures, metamorphic fluid, hydrolytic, CO2, ± H2S, alkali metasomatism. ",,Metamorphic hydrothermal,Orogenic,"Contractional orogen, metamorphic belts, dilatant structures, metamorphic fluid, hydrolytic, CO2, ± H2S, alkali metasomatism",Orogenic copper ± gold
93,Orogenic graphite,"Orogenic graphite deposits are also known as vein, lump graphite. They belong to the general deposit group of Orogenic deposits. The deposit environment is typically Metamorphic hydrothermal. Genetically related features of typical Orogenic graphite deposits include: Contractional orogen, metamorphic belts, dilatant structures, metamorphic fluid, carbon metasomatism. ","vein, lump graphite",Metamorphic hydrothermal,Orogenic,"Contractional orogen, metamorphic belts, dilatant structures, metamorphic fluid, carbon metasomatism",Orogenic graphite
94,Metamorphic graphite,"Metamorphic graphite deposits are also known as Flake graphite, amorphous graphite. They belong to the general deposit group of Metamorphic deposits. The deposit environment is typically Metamorphic. Genetically related features of typical Metamorphic graphite deposits include: Regional metamorphic belts. ","Flake graphite, amorphous graphite",Metamorphic,Metamorphic,Regional metamorphic belts,Metamorphic graphite
95,Metamorphic kyanite,Metamorphic kyanite deposits belong to the general deposit group of Metamorphic deposits. The deposit environment is typically Metamorphic. Genetically related features of typical Metamorphic kyanite deposits include: Regional metamorphic belts. ,,Metamorphic,Metamorphic,Regional metamorphic belts,Metamorphic kyanite
96,Low Iron alkali-calcic,"Low Iron alkali-calcic deposits belong to the general deposit group of Alkali-calcic deposits. The deposit environment is typically Regional metasomatic. Genetically related features of typical Low Iron alkali-calcic deposits include: Continental arc or rift, mafic to felsic or alkalic magmatism, sedimentary basins, dilatant faults, magmatic and basinal or lacustrine brines, iron alkali calcic metasomatism, high amplitude magnetic, gravity, and MT anomalies. ",,Regional metasomatic,Alkali-calcic,"Continental arc or rift, mafic to felsic or alkalic magmatism, sedimentary basins, dilatant faults, magmatic and basinal or lacustrine brines, iron alkali calcic metasomatism, high amplitude magnetic, gravity, and MT anomalies",Low Iron alkali-calcic
97,Albitite-hosted uranium,"Albitite-hosted uranium deposits are also known as Albitite-type metasomatic U. They belong to the general deposit group of Alkali-calcic deposits. The deposit environment is typically Regional metasomatic. Genetically related features of typical Albitite-hosted uranium deposits include: Continental arc or rift, mafic to felsic or alkalic magmatism, sedimentary basins, dilatant faults, magmatic and basinal or lacustrine brines, iron alkali calcic metasomatism, high amplitude magnetic, gravity, and MT anomalies. ",Albitite-type metasomatic U,Regional metasomatic,Alkali-calcic,"Continental arc or rift, mafic to felsic or alkalic magmatism, sedimentary basins, dilatant faults, magmatic and basinal or lacustrine brines, iron alkali calcic metasomatism, high amplitude magnetic, gravity, and MT anomalies",Albitite-hosted uranium
98,Ferroan carbonate polymetallic,"Ferroan carbonate polymetallic deposits belong to the general deposit group of Metasomatic iron deposits. The deposit environment is typically Regional metasomatic. Genetically related features of typical Ferroan carbonate polymetallic deposits include: Continental arc or rift, mafic to felsic or alkalic magmatism, sedimentary basins, dilatant faults, magmatic and basinal or lacustrine brines, iron alkali calcic metasomatism, high amplitude magnetic, gravity, and MT anomalies. ",,Regional metasomatic,Metasomatic iron,"Continental arc or rift, mafic to felsic or alkalic magmatism, sedimentary basins, dilatant faults, magmatic and basinal or lacustrine brines, iron alkali calcic metasomatism, high amplitude magnetic, gravity, and MT anomalies",Ferroan carbonate polymetallic
99,Iron sulfide polymetallic,"Iron sulfide polymetallic deposits are also known as ISCG. They belong to the general deposit group of Metasomatic iron deposits. The deposit environment is typically Regional metasomatic. Genetically related features of typical Iron sulfide polymetallic deposits include: Continental arc or rift, mafic to felsic or alkalic magmatism, sedimentary basins, dilatant faults, magmatic and basinal or lacustrine brines, iron alkali calcic metasomatism, high amplitude magnetic, gravity, and MT anomalies. ",ISCG,Regional metasomatic,Metasomatic iron,"Continental arc or rift, mafic to felsic or alkalic magmatism, sedimentary basins, dilatant faults, magmatic and basinal or lacustrine brines, iron alkali calcic metasomatism, high amplitude magnetic, gravity, and MT anomalies",Iron sulfide polymetallic
100,Iron silicate polymetallic,"Iron silicate polymetallic deposits belong to the general deposit group of Metasomatic iron deposits. The deposit environment is typically Regional metasomatic. Genetically related features of typical Iron silicate polymetallic deposits include: Continental arc or rift, mafic to felsic or alkalic magmatism, sedimentary basins, dilatant faults, magmatic and basinal or lacustrine brines, iron alkali calcic metasomatism, high amplitude magnetic, gravity, and MT anomalies. ",,Regional metasomatic,Metasomatic iron,"Continental arc or rift, mafic to felsic or alkalic magmatism, sedimentary basins, dilatant faults, magmatic and basinal or lacustrine brines, iron alkali calcic metasomatism, high amplitude magnetic, gravity, and MT anomalies",Iron silicate polymetallic
101,Iron oxide poly- metallic,"Iron oxide poly- metallic deposits belong to the general deposit group of Metasomatic iron deposits. The deposit environment is typically Regional metasomatic. Genetically related features of typical Iron oxide poly- metallic deposits include: Continental arc or rift, mafic to felsic or alkalic magmatism, sedimentary basins, dilatant faults, magmatic and basinal or lacustrine brines, iron alkali calcic metasomatism, high amplitude magnetic, gravity, and MT anomalies. ",,Regional metasomatic,Metasomatic iron,"Continental arc or rift, mafic to felsic or alkalic magmatism, sedimentary basins, dilatant faults, magmatic and basinal or lacustrine brines, iron alkali calcic metasomatism, high amplitude magnetic, gravity, and MT anomalies",Iron oxide poly- metallic
102,Iron oxide uranium,"Iron oxide uranium deposits belong to the general deposit group of Metasomatic iron deposits. The deposit environment is typically Regional metasomatic. Genetically related features of typical Iron oxide uranium deposits include: Continental arc or rift, mafic to felsic or alkalic magmatism, sedimentary basins, dilatant faults, magmatic and basinal or lacustrine brines, iron alkali calcic metasomatism, high amplitude magnetic, gravity, and MT anomalies. ",,Regional metasomatic,Metasomatic iron,"Continental arc or rift, mafic to felsic or alkalic magmatism, sedimentary basins, dilatant faults, magmatic and basinal or lacustrine brines, iron alkali calcic metasomatism, high amplitude magnetic, gravity, and MT anomalies",Iron oxide uranium
103,Iron oxide gold,"Iron oxide gold deposits belong to the general deposit group of Metasomatic iron deposits. The deposit environment is typically Regional metasomatic. Genetically related features of typical Iron oxide gold deposits include: Continental arc or rift, mafic to felsic or alkalic magmatism, sedimentary basins, dilatant faults, magmatic and basinal or lacustrine brines, iron alkali calcic metasomatism, high amplitude magnetic, gravity, and MT anomalies. ",,Regional metasomatic,Metasomatic iron,"Continental arc or rift, mafic to felsic or alkalic magmatism, sedimentary basins, dilatant faults, magmatic and basinal or lacustrine brines, iron alkali calcic metasomatism, high amplitude magnetic, gravity, and MT anomalies",Iron oxide gold
104,Hematite- dominant IOCG,"Hematite- dominant IOCG deposits belong to the general deposit group of IOCG deposits. The deposit environment is typically Regional metasomatic. Genetically related features of typical Hematite- dominant IOCG deposits include: Continental arc or rift, mafic to felsic or alkalic magmatism, sedimentary basins, dilatant faults, magmatic and basinal or lacustrine brines, iron alkali calcic metasomatism, high amplitude magnetic, gravity, and MT anomalies. ",,Regional metasomatic,IOCG,"Continental arc or rift, mafic to felsic or alkalic magmatism, sedimentary basins, dilatant faults, magmatic and basinal or lacustrine brines, iron alkali calcic metasomatism, high amplitude magnetic, gravity, and MT anomalies",Hematite- dominant IOCG
105,Magnetite- dominant IOCG,"Magnetite- dominant IOCG deposits belong to the general deposit group of IOCG deposits. The deposit environment is typically Regional metasomatic. Genetically related features of typical Magnetite- dominant IOCG deposits include: Continental arc or rift, mafic to felsic or alkalic magmatism, sedimentary basins, dilatant faults, magmatic and basinal or lacustrine brines, iron alkali calcic metasomatism, high amplitude magnetic, gravity, and MT anomalies. ",,Regional metasomatic,IOCG,"Continental arc or rift, mafic to felsic or alkalic magmatism, sedimentary basins, dilatant faults, magmatic and basinal or lacustrine brines, iron alkali calcic metasomatism, high amplitude magnetic, gravity, and MT anomalies",Magnetite- dominant IOCG
106,Hematite- dominant IOA,"Hematite- dominant IOA deposits belong to the general deposit group of IOA deposits. The deposit environment is typically Regional metasomatic. Genetically related features of typical Hematite- dominant IOA deposits include: Continental arc or rift, mafic to felsic or alkalic magmatism, sedimentary basins, dilatant faults, magmatic and basinal or lacustrine brines, iron alkali calcic metasomatism, high amplitude magnetic, gravity, and MT anomalies. ",,Regional metasomatic,IOA,"Continental arc or rift, mafic to felsic or alkalic magmatism, sedimentary basins, dilatant faults, magmatic and basinal or lacustrine brines, iron alkali calcic metasomatism, high amplitude magnetic, gravity, and MT anomalies",Hematite- dominant IOA
107,Magnetite- dominant IOA,"Magnetite- dominant IOA deposits belong to the general deposit group of IOA deposits. The deposit environment is typically Regional metasomatic. Genetically related features of typical Magnetite- dominant IOA deposits include: Continental arc or rift, mafic to felsic or alkalic magmatism, sedimentary basins, dilatant faults, magmatic and basinal or lacustrine brines, iron alkali calcic metasomatism, high amplitude magnetic, gravity, and MT anomalies. ",,Regional metasomatic,IOA,"Continental arc or rift, mafic to felsic or alkalic magmatism, sedimentary basins, dilatant faults, magmatic and basinal or lacustrine brines, iron alkali calcic metasomatism, high amplitude magnetic, gravity, and MT anomalies",Magnetite- dominant IOA
108,Mafic-ultramafic VMS,"Mafic-ultramafic VMS deposits are also known as Volcanic-hosted massive sulfide (VHMS), volcanic-associated massive sulfide (VAMS), seafloor massive sulfide (SMS), Cyprus-type. They belong to the general deposit group of Volcanogenic massive sulfide (VMS) deposits. The deposit environment is typically Volcanic basin hydrothermal. Genetically related features of typical Mafic-ultramafic VMS deposits include: Oceanic rift or arc volcanism, ±fluid exsolution, dilatant faults, convecting seawater, seafloor vents. ","Volcanic-hosted massive sulfide (VHMS), volcanic-associated massive sulfide (VAMS), seafloor massive sulfide (SMS), Cyprus-type",Volcanic basin hydrothermal,Volcanogenic massive sulfide (VMS),"Oceanic rift or arc volcanism, ±fluid exsolution, dilatant faults, convecting seawater, seafloor vents",Mafic-ultramafic VMS
109,"Mafic-siliciclastic
 VMS","Mafic-siliciclastic
 VMS deposits are also known as Volcanic-hosted mas- sive sulfide (VHMS), volcanic-associated massive sulfide (VAMS), seafloor massive sulfide (SMS), Besshi-type. They belong to the general deposit group of Volcanogenic massive sulfide (VMS) deposits. The deposit environment is typically Volcanic basin hydrothermal. Genetically related features of typical Mafic-siliciclastic
 VMS deposits include: Oceanic rift or arc volcanism, ±fluid exsolution, dilatant faults, convecting seawater, seafloor vents. ","Volcanic-hosted mas- sive sulfide (VHMS), volcanic-associated massive sulfide (VAMS), seafloor massive sulfide (SMS), Besshi-type",Volcanic basin hydrothermal,Volcanogenic massive sulfide (VMS),"Oceanic rift or arc volcanism, ±fluid exsolution, dilatant faults, convecting seawater, seafloor vents","Mafic-siliciclastic
 VMS"
110,"Bimodal-mafic
 VMS","Bimodal-mafic
 VMS deposits are also known as Volcanic-hosted mas- sive sulfide (VHMS), volcanic-associated massive sulfide (VAMS), seafloor massive sulfide (SMS), Noranda-type. They belong to the general deposit group of Volcanogenic massive sulfide (VMS) deposits. The deposit environment is typically Volcanic basin hydrothermal. Genetically related features of typical Bimodal-mafic
 VMS deposits include: Oceanic rift or arc volcanism, ±fluid exsolution, dilatant faults, convecting seawater, seafloor vents. ","Volcanic-hosted mas- sive sulfide (VHMS), volcanic-associated massive sulfide (VAMS), seafloor massive sulfide (SMS), Noranda-type",Volcanic basin hydrothermal,Volcanogenic massive sulfide (VMS),"Oceanic rift or arc volcanism, ±fluid exsolution, dilatant faults, convecting seawater, seafloor vents","Bimodal-mafic
 VMS"
111,Bimodal felsic VMS,"Bimodal felsic VMS deposits are also known as Volcanic-hosted mas- sive sulfide (VHMS), volcanic-associated massive sulfide (VAMS), seafloor massive sulfide (SMS), Kuroko-type. They belong to the general deposit group of Volcanogenic massive sulfide (VMS) deposits. The deposit environment is typically Volcanic basin hydrothermal. Genetically related features of typical Bimodal felsic VMS deposits include: Oceanic rift or arc volcanism, ±fluid exsolution, dilatant faults, convecting seawater, seafloor vents. ","Volcanic-hosted mas- sive sulfide (VHMS), volcanic-associated massive sulfide (VAMS), seafloor massive sulfide (SMS), Kuroko-type",Volcanic basin hydrothermal,Volcanogenic massive sulfide (VMS),"Oceanic rift or arc volcanism, ±fluid exsolution, dilatant faults, convecting seawater, seafloor vents",Bimodal felsic VMS
112,Felsic-siliciclastic VMS,"Felsic-siliciclastic VMS deposits are also known as Volcanic-hosted mas- sive sulfide (VHMS), volcanic-associated massive sulfide (VAMS), seafloor massive sulfide (SMS), Bathhurst- type, Iberian-type. They belong to the general deposit group of Volcanogenic massive sulfide (VMS) deposits. The deposit environment is typically Volcanic basin hydrothermal. Genetically related features of typical Felsic-siliciclastic VMS deposits include: Oceanic rift or arc volcanism, ±fluid exsolution, dilatant faults, convecting seawater, seafloor vents. ","Volcanic-hosted mas- sive sulfide (VHMS), volcanic-associated massive sulfide (VAMS), seafloor massive sulfide (SMS), Bathhurst- type, Iberian-type",Volcanic basin hydrothermal,Volcanogenic massive sulfide (VMS),"Oceanic rift or arc volcanism, ±fluid exsolution, dilatant faults, convecting seawater, seafloor vents",Felsic-siliciclastic VMS
113,Algoma-type banded iron formation,"Algoma-type banded iron formation deposits are also known as Volcanogenic iron formation. They belong to the general deposit group of Volcanogenic deposits. The deposit environment is typically Volcanic basin hydrothermal. Genetically related features of typical Algoma-type banded iron formation deposits include: Oceanic rift or arc volcanism, ±fluid exsolution, dilatant faults, convecting seawater, seafloor vents. ",Volcanogenic iron formation,Volcanic basin hydrothermal,Volcanogenic,"Oceanic rift or arc volcanism, ±fluid exsolution, dilatant faults, convecting seawater, seafloor vents",Algoma-type banded iron formation
114,Volcanogenic manganese,"Volcanogenic manganese deposits are also known as Franciscan, Cuban, Olympic Peninsula, and Cyprus manga- nese. They belong to the general deposit group of Volcanogenic deposits. The deposit environment is typically Volcanic basin hydrothermal. Genetically related features of typical Volcanogenic manganese deposits include: Oceanic rift or arc volcanism, ±fluid exsolution, dilatant faults, convecting seawater, seafloor vents. ","Franciscan, Cuban, Olympic Peninsula, and Cyprus manga- nese",Volcanic basin hydrothermal,Volcanogenic,"Oceanic rift or arc volcanism, ±fluid exsolution, dilatant faults, convecting seawater, seafloor vents",Volcanogenic manganese
115,Low-sulfidation (LS) epither- mal gold-silver,Low-sulfidation (LS) epither- mal gold-silver deposits are also known as Adularia-sericite gold- silver; hot-spring gold-silver; epizonal intrusion-related gold. They belong to the general deposit group of Epithermal deposits. The deposit environment is typically Magmatic hydrothermal. Genetically related features of typical Low-sulfidation (LS) epither- mal gold-silver deposits include: Occurs in more than one system type. ,Adularia-sericite gold- silver; hot-spring gold-silver; epizonal intrusion-related gold,Magmatic hydrothermal,Epithermal,Occurs in more than one system type,Low-sulfidation (LS) epither- mal gold-silver
116,"Intermediate- sulfidation (IS) epithermal silver-gold ± Zn, Pb, Cu, Sn, Mn","Intermediate- sulfidation (IS) epithermal silver-gold ± Zn, Pb, Cu, Sn, Mn deposits are also known as Adularia-sericite silver- gold. They belong to the general deposit group of Epithermal deposits. The deposit environment is typically Magmatic hydrothermal. Genetically related features of typical Intermediate- sulfidation (IS) epithermal silver-gold ± Zn, Pb, Cu, Sn, Mn deposits include: Occurs in more than one system type. ",Adularia-sericite silver- gold,Magmatic hydrothermal,Epithermal,Occurs in more than one system type,"Intermediate- sulfidation (IS) epithermal silver-gold ± Zn, Pb, Cu, Sn, Mn"
117,High-sulfidation (HS) epithermal silver-gold ± Cu,"High-sulfidation (HS) epithermal silver-gold ± Cu deposits are also known as Quartz-alunite gold, enargite-gold. They belong to the general deposit group of Epithermal deposits. The deposit environment is typically Magmatic hydrothermal. Genetically related features of typical High-sulfidation (HS) epithermal silver-gold ± Cu deposits include: Occurs in more than one system type. ","Quartz-alunite gold, enargite-gold",Magmatic hydrothermal,Epithermal,Occurs in more than one system type,High-sulfidation (HS) epithermal silver-gold ± Cu
