,Deposit type,Description,Deposit environment,Deposit group
51,"Marine brine potash (± Mg, Li, and so on)","Marine brine potash (±Mg, Li, and so on) deposits belong to the general deposit group of Brine deposits. The deposit environment is typically Basin evaporative. Genetically related features of typical Marine brine potash (±Mg, Li, and so on) deposits include: Silled marine basin, arid climate, pinnacle reefs, evaporites, sabkha dolomites. Marine brine potash deposits, notably characterized by their unique genesis within silled marine basins under arid climatic conditions, encompass crucial geological and mineralogical attributes that distinguish them from other mineral deposit types. These deposits predominantly occur in restricted coastal or inland seas where high evaporation rates lead to supersaturation and precipitation of evaporite minerals such as halite, sylvite, and carnallite, often accompanied by significant amounts of magnesium and lithium salts. The geological setting is typically marked by evaporitic sequences contained within sabkha dolomites and pinnacle reefs, which contribute to the complex structural and stratigraphic traps essential for mineral concentration. The deposits are often found associated with extensive evaporite beds€”indicative of the depositional environment's high salinity and reduced water circulation. Ore grades and tonnages can vary widely, but economically viable deposits typically present high-grade potash (>20% K2O) with massive tonnages, proving critical for global agriculture as a potassium source. Additionally, the age of mineralization generally aligns with periods of significant global aridity and basin development, further influenced by tectonic settings conducive to basin isolation and brine concentration. These geological and mineralogical characteristics, coupled with their tectonic and environmental formation conditions, underscore the distinctiveness of marine brine potash deposits from other types.",Basin evaporative,Brine
52,Lacustrine brine potash,"Lacustrine brine potash deposits belong to the general deposit group of Brine deposits. The deposit environment is typically Basin evaporative. Genetically related features of typical Lacustrine brine potash deposits include: Closed lacustrine drainage basin, arid climate, salt flats. Lacustrine brine potash deposits, classified under the broader category of brine deposits, occur within closed lacustrine drainage basins typically situated in arid or semi-arid climatic zones. These deposits are largely formed in basin evaporative environments where prolonged evaporation leads to the supersaturation and subsequent precipitation of soluble minerals. Key geological features of these deposits include the extensive presence of halite, sylvite, and other potash minerals such as carnallite and polyhalite. Importantly, the rock types surrounding these deposits are generally clastic sediments that have low permeability, aiding in the trapping and concentration of mineral-rich brines. The mineralization in these settings can range from shallow subsurface to several meters deep, where brines are concentrated by solar evaporation. Typically, these deposits are not associated with any significant hydrothermal alteration, unlike many other mineral deposit types. The age of mineralization for these deposits can vary widely depending on the specific geologic and climatic history of the basin but commonly correspond to periods of intense arid conditions. Structurally, the basins are often bound by normal faults, contributing to the formation of accommodation spaces for brine pooling. Ore grades and tonnages also vary but can be exceptionally high due to the efficient concentration mechanism of the closed system. Overall, lacustrine brine potash deposits are distinct in their sedimentary-hosted, non-metamorphosed nature and their reliance on specific evaporitic conditions, setting them apart from other mineral deposit types that might involve more complex tectonic settings or hydrothermal processes.",Basin evaporative,Brine
53,Lacustrine brine lithium,"Lacustrine brine lithium deposits belong to the general deposit group of Brine deposits. The deposit environment is typically Basin evaporative. Genetically related features of typical Lacustrine brine lithium deposits include: Closed lacustrine drainage basin, arid climate, salt flats. Lacustrine brine lithium deposits, primarily located within closed basin environments in arid regions, are characterized by their formation in saline, evaporative lacustrine settings, such as those found in salt flats or playas. These deposits distinguish themselves by accruing in basins with restricted drainage, facilitating the concentration of lithium mostly derived from weathered volcanic rocks through hydrothermal activities. The typical lithology associated with these deposits includes clay-rich layers and evaporites, often composed of hectorite, halite, and various sulphates, which are pivotal in the geochemical trapping of lithium ions in brine form. The commodity extracted is predominantly lithium, occasionally accompanied by other elements like potassium and boron, concentrated in the brines at varying grades, often making economic extraction feasible. The age of mineralization varies, but these deposits are generally linked to recent geological activities in tectonically stable settings with ongoing or historical volcanic activity influencing the lithium source. Ore bodies are not typical solid rock but are fluid reservoirs where brine is pumped from subsurface aquifers. Notably, the ore control in these settings does not involve classic mining techniques; instead, it involves the management and extraction of liquid brines, followed by evaporation and chemical processing. This type of deposit does not require extensive physical mining, reducing environmental disruption compared to hard-rock mining scenarios. Consequently, the exploration and development of lacustrine brine lithium deposits prioritize understanding hydrogeological dynamics and the sustainable management of water resources.Lacustrine brine lithium type mineral deposits are also known as USGS deposit model number 35bm. Lacustrine brine lithium type mineral deposits are also known as Lithium-rich playa brines. ",Basin evaporative,Brine
54,"Lacustrine zeolite (± Li, B)","Lacustrine zeolite (± Li, B) deposits belong to the general deposit group of Zeolite deposits. The deposit environment is typically Basin evaporative. Genetically related features of typical Lacustrine zeolite (± Li, B) deposits include: Closed lacustrine drainage basin, arid climate, salt flats, volcanic rocks. Lacustrine zeolite (± Li, B) deposits are characterized by their unique formation in closed lacustrine drainage basins within arid and evaporative environments, typically associated with salt flats and underlain by volcanic rocks. These deposit environments foster the crystallization of zeolites€”a group of hydrated aluminosilicates€”with potential enrichments in lithium (Li) and boron (B). The ore often forms in layers or lenses that reflect the episodic nature of lake evaporation and replenishment. Key commodities from these deposits may include not only zeolites but also lithium and boron, particularly when evaporites are heavily concentrated. These minerals are valuable for various industrial, agricultural, and high-tech applications. The deposits are often younger, typically Cenozoic, due to ongoing tectonic activities that facilitate basin formation and volcanic activity providing the essential source materials. The orebody can manifest as stratiform accumulations within lacustrine sediments, controlled by the basin€™s physiography and the primary structures such as faults or volcanic inputs. Unlike hydrothermal or magmatic deposits, lacustrine zeolite deposits depend heavily on surface water chemistry and sedimentary processes rather than high-temperature and high-pressure conditions underground. This sedimentary and surface hydrological control distinguishes them from other mineral deposit types, particularly emphasizing the importance of climate and topography in their formation.Lacustrine zeolite (± Li, B) type mineral deposits are also known as USGS deposit model number 25ob. Lacustrine zeolite (± Li, B) type mineral deposits are also known as Sedimentary zeolites: Zeolites in tuffs of saline, alkaline-lake depos. ",Basin evaporative,Zeolite
55,Lacustrine clay lithium,"Lacustrine clay lithium deposits belong to the general deposit group of Clay deposits. The deposit environment is typically Basin evaporative. Genetically related features of typical Lacustrine clay lithium deposits include: Closed lacustrine drainage basin, arid climate, salt flats, ash and clay layers. Lacustrine clay lithium deposits are characterized by unique sedimentary environments within closed basin settings, typically under arid climates where evaporative processes concentrate lithium-bearing minerals. These deposits are formed in lacustrine (lake) environments where lithium is leached from volcanic ash layers and concentrated in clay minerals as a result of chemical weathering and evaporation. The host rocks are predominantly fine-grained sediments, such as claystone and mudstone, enriched with volcanic ash. These sediments are often layered with salts and ash, contributing to the complex stratigraphy of the deposit. Lithium is primarily found in the form of hectorite, a lithium-bearing smectite clay mineral. The grades of lithium in these deposits can vary widely but are generally lower than those found in hard rock pegmatite deposits; however, they are significant due to the sheer volume of material and the relatively straightforward mining process involved. Physiographically, these deposits occur in flat to gently undulating terrains. The age of mineralization is typically Cenozoic, owing to the recent geological activity required to form the volcanic material that is the source of lithium. These deposits do not generally require extensive alteration or tectonic activity for formation, distinguishing them from other lithium deposit types such as pegmatites or brine pools which are structurally controlled and require specific tectonic settings for enrichment.Lacustrine clay lithium type mineral deposits are also known as USGS deposit model number 25lc. Lacustrine clay lithium type mineral deposits are also known as Lithium in smectites of closed basins. ",Basin evaporative,Clay
56,Black shale vanadium ± Mo ± Ni,"Black shale va-nadium ± Mo ± Ni deposits are also known as Metalliferous black shale, stone coal, carbonaceous marl. They belong to the general deposit group of Black shale deposits. The deposit environment is typically Basin chemical. Genetically related features of typical Black shale va-nadium ± Mo ± Ni deposits include: Marine chemoclines, anoxic or euxinic lows, bioproductivity, seawater. Black shale vanadium ± Mo ± Ni deposits, typically occurring in sedimentary basins with chemical reduction environments, are distinguished by their unique geological settings and features that separate them from other mineral deposits. These deposits are primarily hosted in organic-rich black shales, carbonaceous marls, or stone coals, indicative of anoxic or euxinic conditions that are often associated with high bioproductivity in marine settings. The presence of marine chemoclines contributes to the deposition of these elements, facilitated by the reducing conditions that enable the preservation of organic material along with metals. The commodity types primarily extracted from these deposits include vanadium, molybdenum, and nickel, with vanadium often being the most economically significant. Ore grades can vary widely but are generally considered low to moderate; however, the large tonnage compensates, making these deposits significant for bulk mining approaches. Key ore controls include the extent of organic content, basin structure, and depositional environment, while the primary tectonic settings for these deposits involve stable platform areas with little or no orogenic activity. The age of mineralization spans a broad range, occurring predominantly in Proterozoic to Mesozoic eras. These deposits differ from others in their specific environmental requirements for formation, including a quiet, anoxic water column above the sediment-water interface, which is crucial for metal accumulation without significant clastic interference.",Basin chemical,Black shale
57,Black shale nickel ± Mo-PGE,"Black shale nickel ± Mo-PGE deposits are also known as Metalliferous black shale. They belong to the general deposit group of Black shale deposits. The deposit environment is typically Basin chemical. Genetically related features of typical Black shale nickel ± Mo-PGE deposits include: Marine chemoclines, anoxic or euxinic lows, bioproductivity, seawater. Black shale nickel ± Mo-PGE deposits, categorized under Basin chemical environments, are distinct because of their formation in fine-grained sedimentary rocks rich in organic matter, typically in anoxic or euxinic conditions where limited oxygen levels favor the preservation of organic materials and sulfides. These deposits are primarily housed within black shales or carbonaceous shales, which act as both the source and the trap for nickel (Ni), molybdenum (Mo), and platinum group elements (PGEs). The shales themselves are often associated with stratiform layers indicating a strong control by the sedimentary structures of the host rock. What sets these deposits apart is their syngenetic nature; the metals are believed to have been deposited simultaneously with or shortly after the deposition of their host black shales, during episodes of high biological productivity and significant accumulation of organic matter in marine environments. This typically occurs along continental margins or in intracontinental basins. The ore minerals in these deposits include sulfides, such as pyrite, which often bear the nickel and other metals. The age of mineralization can span from Proterozoic to Phanerozoic, reflecting the broad geotectonic settings under which these deposits form. Grades and tonnages can vary significantly but are typically modest compared to magmatic sulfide deposits. The economic extraction of Ni, Mo, and PGEs from these deposits generally requires careful consideration of the metallurgical characteristics of the ore, which is deeply intertwined with the geochemical environment of the deposit formation.",Basin chemical,Black shale
58,Black shale gold,"Black shale gold deposits belong to the general deposit group of Black shale deposits. The deposit environment is typically Basin chemical. Genetically related features of typical Black shale gold deposits include: Marine chemoclines, anoxic or euxinic lows, bioproductivity, seawater. Black shale gold deposits are distinctive mineral deposits formed in settings characterized by organic-rich, fine-grained sedimentary rocks known as black shales, deposited in anoxic or euxinic conditions typical of deep marine basins. These environments support limited oxygen, promoting the preservation of organic material and the formation of sulfide minerals through biogenic and chemical processes where gold can become concentrated. The presence of marine chemoclines contributes to creating a stratified water column where unique chemical gradients enhance the deposition of metals. These deposits often show a close association with trace elements like arsenic, antimony, and mercury, which are geochemical markers for gold-bearing horizons. Black shale-hosted gold deposits generally exhibit lower grades but can possess substantial tonnage, making them economically significant. In terms of age, these deposits can range widely, often correlating with periods of significant marine anoxia in geological history, like during the Paleozoic and Mesozoic eras. In terms of structures and tectonic settings, they are primarily found in stable platform areas or within sedimentary basins not commonly affected by intense orogenesis. Key geological features distinguishing these deposits include their depositional environment, the strong control of organic content on mineralization, and the pervasive, syngenetic to diagenetic nature of the gold bearing sulfide minerals, contrasting sharply with more structurally controlled or intrusion-related gold deposits.",Basin chemical,Black shale
59,Black shale uranium,"Black shale uranium deposits belong to the general deposit group of Black shale deposits. The deposit environment is typically Basin chemical. Genetically related features of typical Black shale uranium deposits include: Marine chemoclines, anoxic or euxinic lows, bioproductivity, seawater. Black shale uranium deposits, a distinctive subset of black shale deposits, are primarily characterized by their occurrence in organic-rich sedimentary rock sequences typically situated in stable basin environments with a pronounced chemical signature. These deposits are enriched in uranium and often associated with other metals such as vanadium and molybdenum, encapsulated within laminated shales and siltstones that have been subjected to reducing conditions, frequently under marine anoxic or euxinic environments, where oxygen is exceedingly scarce. This anoxia plays a crucial role in the preservation and concentration of uranium minerals. The age of these deposits spans widely, with notable examples dating back to the Proterozoic and Paleozoic eras, which highlights their formation during significant marine transgressive events that promote high biological productivity and subsequently, enhanced organic matter deposition. Ore grades can vary significantly, but economically viable grades are typically in the range of 0.01-0.4% U3O8, with tonnages extending from a few million to over 100 million tonnes. These deposits are often stratiform, paralleling the bedding of the host shales, and show minimal alteration due to the low-energy depositional environments. Tectonically, these deposits are generally found in intracratonic basins or on passive continental margins, where slow subsidence and limited input from clastic sediments create an ideal setup for uranium accumulation. The distinctiveness of black shale uranium deposits lies in their formation under specific physicochemical conditions that are markedly different from other uranium deposit types, such as those associated with high-temperature hydrothermal systems or those derived from granitic and volcanic sources.",Basin chemical,Black shale
60,Phosphorite,"Phosphorite deposits are also known as Phosphate. They belong to the general deposit group of Phosphorite deposits. The deposit environment is typically Basin chemical. Genetically related features of typical Phosphorite deposits include: Marine chemoclines, ocean currents bioproductivity, wave base, seawater. Phosphorite deposits, primarily composed of phosphate minerals such as apatite, are important sedimentary rocks that serve as a major source of phosphorus. These deposits typically form in marine environments, particularly in continental shelf settings under conditions favoring high biological productivity and subsequent accumulation of organic material. The mineralization in phosphorites is mainly found within nodular and pelletal concentrates, which often appear in stratigraphic sequences that point towards episodic deposition events controlled by changes in marine chemistry and circulation patterns. Noteworthy is the high grade of phosphorus in these deposits, frequently expressing grades exceeding 15% P2O5, and large tonnage levels, which make them economically significant. The age of mineralization generally spans from the Precambrian to the Neogene, reflecting extensive and multi-epoch depositional environments. Phosphorites are particularly distinctive due to their genetic link to marine settings influenced by upwelling currents, which enhance nutrient availability and organic production, setting them apart from terrestrial and other marine sedimentary deposits. Additionally, these deposits may exhibit minimal to no alteration, preserving their original sedimentary features and stratigraphic integrity. Their economic viability and distinct geological settings, primarily driven by oceanographic and climatic factors, underscore their unique aspects in comparison to other mineral deposits.Phosphorite type mineral deposits are also known as USGS deposit model number 34c. Phosphorite type mineral deposits are also known as Phosphate, upwelling type. ",Basin chemical,Phosphorite
61,Superior-type banded iron formation,"Superior-type banded iron formation deposits are also known as Lake Superior. They belong to the general deposit group of Iron formation deposits. The deposit environment is typically Basin chemical. Genetically related features of typical Superior-type banded iron formation deposits include: Atmospheric oxidation, oceanic oxidation event, seawater. Superior-type banded iron formations (BIFs), notably exemplified by those in the Lake Superior region, are critical Precambrian sedimentary deposits renowned for their substantial iron enrichment. These deposits predominantly consist of alternating layers of iron-rich minerals like hematite and magnetite, and silica-rich minerals such as quartz and chert, defining their characteristic banded appearance. Formed over 2.5 billion years ago during the Paleoproterozoic era in calm, deep marine environments, Superior-type BIFs are linked to periods of significant atmospheric and oceanic oxygenation. These depositional environments were inherently tied to basin chemical processes, which were influenced by tectonic settings characterized by stable cratonic basins. The sheer size and grade of these deposits are substantial, with some BIFs reaching hundreds of meters in thickness and extending for several kilometers, underpinning their high economic significance primarily as sources of iron ore. Typically, the iron grades range from 20-40% Fe. Distinct from other BIF sub-types like Algoma-type, Superior-type BIFs are not associated with volcanic activities but are more extensive, often forming under stable tectonic conditions without significant volcanic interference, making them temporally and genetically unique. This makes Superior-type BIFs crucial both geologically and industrially, dominating global iron ore production.Superior-type banded iron formation type mineral deposits are also known as USGS deposit model number 34a. Superior-type banded iron formation type mineral deposits are also known as Superior Fe (BC name is Lake Superior & Rapitan types iron-formation). ",Basin chemical,Iron formation
62,Oolitic iron formation,"Oolitic iron formation deposits are also known as Ironstone, Clinton-type, Minette-type. They belong to the general deposit group of Iron formation deposits. The deposit environment is typically Basin chemical. Genetically related features of typical Oolitic iron formation deposits include: Oceanic anoxic events, marine chemoclines, ocean currents, wave base, seawater. Oolitic iron formation deposits, inclusive of types known as Ironstone, Clinton-type, and Minette-type, are distinct sedimentary accumulations primarily concentrated with iron minerals. These deposits typically manifest as layers rich in ooliths€”small, spherical grains constituted of concentric layers of mineral material, predominantly hematite or magnetite, around a nucleus. Situated in shallow marine environments, these formations are often linked to specific geological periods where oceanic anoxic events and specific chemical conditions prevailed, such as during the Ordovician to Jurassic periods. The genesis of these deposits is closely associated with marine chemoclines and the influence of ocean currents and wave action, which facilitate the precipitation and accumulation of iron minerals in a chemically stratified water column. Unlike banded iron formations (BIFs) that form in deeper, quieter waters, oolitic iron formations develop in dynamic, shallow settings where mechanical sorting and reworking by waves can occur. This results in the iron being concentrated into high-grade ore typically featuring straightforward extraction qualities. These deposits are not just commercially significant for their iron content but are also notable for their relatively simple mining and processing methodologies. Crucially, their geological setting and formation mechanisms lend these deposits a characteristic appearance and mineralogical composition that clearly distinguishes them from other iron deposit types, rendering them an important resource for both geological research and industrial use.",Basin chemical,Iron formation
63,Lacustrine iron formation,"Lacustrine iron formation deposits belong to the general deposit group of Iron formation deposits. The deposit environment is typically Basin chemical. Genetically related features of typical Lacustrine iron formation deposits include: Regional-scale and intense Fe-Na-(Ca±K) metasomatism and magnetic/gravity anomalies, caldera lakes. Lacustrine iron formation deposits represent a specific subtype of iron formation deposits, predominantly found in closed basin environments influenced by chemical processes within lake systems. These deposits are typically characterized by sediments that are rich in iron and are generally formed in regions exhibiting caldera activity, which provides a unique basin-like morphology conducive to the deposition of iron along with other minerals. The geological formations often involve fine-grained sedimentary rocks such as chert, jasper, and shale, interbedded with iron minerals like magnetite, hematite, and siderite. The uniqueness of lacustrine iron formations compared to other iron deposits lies in their sedimentary environment and the presence of distinct volcanic activity which influences the chemical composition of the water body, leading to the precipitation of iron. These formations can exhibit extensive metasomatic alterations characterized by an enrichment of sodium (Na), calcium (Ca), and occasionally potassium (K), coupled with magnetic and gravity anomalies that underscore their tectonic and structural contexts. The age of these deposits typically spans from the late Precambrian to the Phanerozoic, indicating a prolonged period of formation under varying geological settings. Ore grades can vary significantly, though economic concentrations are typically on the lower side compared to banded iron formations (BIFs) from more open marine settings. Overall, lacustrine iron formations are marked by their distinct setting in ancient lake systems, influenced heavily by volcanic activity and closed-system chemical sedimentation processes.",Basin chemical,Iron formation
64,Superior-type banded manganese,"Superior-type banded manganese deposits are also known as Mamatwan-type; gondite. They belong to the general deposit group of Manganese deposits. The deposit environment is typically Basin chemical. Genetically related features of typical Superior-type banded manganese deposits include: Atmospheric oxidation, oceanic oxidation event, seawater. Superior-type banded manganese deposits, often referred to as Mamatwan-type or gondite, are distinguished among manganese ore deposits for their specific geological settings and characteristics. These deposits are predominantly formed in basin chemical environments, where they manifest as stratiform banded manganese formations. The primary enrichment of manganese in these deposits is largely attributed to atmospheric and oceanic oxidation events, highlighting a strong genetic link with the Earth's oxidative history, particularly during the Precambrian era. The rock types associated with these deposits are usually iron-rich sediments and manganese oxides, including minerals such as pyrolusite, braunite, and hausmannite, set in chert and iron formations. These deposits are noteworthy for their high-grade manganese ore, often with grades significantly above those found in other deposit types, facilitating them as key resources for manganese, a critical commodity in steel production and battery technology. The ore bodies are extensive and generally flat-laying, aligning with the sedimentary nature of the host basins. Structurally, the deposits are influenced less by folding and faulting compared to hydrothermal deposits, and are instead largely stratiform, following the bedding of their host rocks. These features collectively differentiate the Superior-type banded manganese deposits from other manganese and mineral deposit types, standing out due to their geological age, formation process, and economic viability.
",Basin chemical,Manganese
65,Sedimentary manganese,"Sedimentary manganese deposits are also known as Shelf sequence manganese, Nikopol-type manganese. They belong to the general deposit group of Manganese deposits. The deposit environment is typically Basin chemical. Genetically related features of typical Sedimentary manganese deposits include: Oceanic anoxic events, marine chemoclines, ocean currents, wave base, seawater. Sedimentary manganese deposits, commonly referred to as shelf sequence or Nikopol-type manganese, are distinctly characterized by their accumulation in basin chemical environments where oceanic anoxic events and marine chemoclines play a pivotal role. These deposits primarily form in sedimentary rock sequences through chemical precipitation from seawater, influenced by factors such as ocean currents and wave bases. The ore is typically found as stratiform layers or nodules composed of manganese oxides and hydroxides; common mineral types include pyrolusite, psilomelane, and rhodochrosite. These deposits often exhibit high grades, with manganese content varying but can exceed 35% Mn in several cases, making them economically significant. The geological setting for these deposits usually involves shallow marine basins associated with passive continental margins, with sedimentation occurring from the Paleoproterozoic to the Cenozoic era. Distinctive from other mineral deposits, these manganese-rich layers lack significant hydrothermal alteration typically found in volcanogenic or hydrothermal deposits. Instead, their formation is controlled by depositional features such as chemocline depth and stability, making them unique in terms of both genesis and spatial distribution within sedimentary basins. This specific sequence and environmental condition dependency differentiate them markedly from other manganese deposit types, like those formed hydrothermally or in supergene environments.
Sedimentary manganese type mineral deposits are also known as USGS deposit model number 34b. Sedimentary manganese type mineral deposits are also known as Sedimentary Mn. ",Basin chemical,Manganese
66,Crust manganese,"Crust manganese deposits are also known as Ferromanganese crusts. They belong to the general deposit group of Manganese deposits. The deposit environment is typically Basin chemical. Genetically related features of typical Crust manganese deposits include: Marine chemoclines, ocean currents, atolls and plateaus, seawater. Crust manganese deposits, or ferromanganese crusts, are a distinct type of marine mineral deposit found primarily on the flanks of seamounts, oceanic plateaus, and submerged atolls, where they form thin (a few millimeters to centimeters thick) veneers overlying basaltic and ultramafic substrates. These deposits accrue from the direct precipitation of manganese and iron from seawater, influenced significantly by marine chemoclines and ocean currents. The uniqueness of crust manganese deposits lies in their high concentrations of cobalt, titanium, nickel, and rare earth elements, alongside manganese and iron, differing markedly from other manganese deposit types like nodules which occur in deep-sea sediments. The grades can be exceptionally high; these crusts typically contain about 20-30% manganese, 1-2% cobalt, and other valuable trace metals. These deposits form over millions of years, indicating protracted mineralization processes influenced predominantly by fluctuations in ocean chemistry and variations in oceanographic currents. The topographic and physiographic placement on high-standing oceanic features affects the thickness and grade variability due to varying exposure to oxidizing conditions and nutrient-rich waters. Structurally, ferromanganese crusts are non-stratiform and adhere to the substrate with limited alteration of the host rocks. The key distinguishing factor lies in their enrichment in high-tech metals and their occurrence in settings far removed from continental influences, making them strategic but challenging targets for mineral exploration and extraction.Crust manganese type mineral deposits are also known as USGS deposit model number 33b. Crust manganese type mineral deposits are also known as Mn in oceanic crusts. ",Basin chemical,Manganese
67,Nodule manganese,"Nodule manganese deposits are also known as Ferromanganese nodules. They belong to the general deposit group of Manganese deposits. The deposit environment is typically Basin chemical. Genetically related features of typical Nodule manganese deposits include: Marine chemoclines, ocean currents, abyssal plains, seawater. Nodule manganese deposits, also recognized as ferromanganese nodules, are distinguished by their occurrence on ocean floors, primarily on abyssal plains at depths of 4,000 to 6,000 meters. These deposits are essentially concretions of manganese and iron hydroxides around a core of microfossils, basalt fragments, or detrital grains. Manganese (Mn), iron (Fe), nickel (Ni), copper (Cu), and cobalt (Co) are the primary commodities, with the concentrations varying significantly but typically finding Mn grades around 24% to 30%. Uniquely, these nodules form through precipitation from seawater and pore waters rich in metallic ions on or just beneath the oceanic sediments where slow accretion rates of 1-10 mm per million years have been noted. The physiography of these deposits is influenced by abyssal hills and sediment-covered oceanic crust, typically underlain by pelagic clay or siliceous ooze. The mode of occurrence and the slow growth process make these deposits distinct from terrestrial manganese deposits, which are usually stratiform and linked with sedimentary rocks. Tectonic activity has little direct influence on nodule formation, though oceanic currents and micro-environmental changes like chemoclines play a critical role in concentrating metals. Hence, these nodules represent a significant aspect of marine mineral resources, their formation a testimony to the intricate interplay of ocean chemistry and micro-environmental conditions over geological time scales.Nodule manganese type mineral deposits are also known as USGS deposit model number 33a. Nodule manganese type mineral deposits are also known as Mn nodules in sediments. ",Basin chemical,Manganese
68,Lacustrine manganese,"Lacustrine manganese deposits belong to the general deposit group of Manganese deposits. The deposit environment is typically Basin chemical. Genetically related features of typical Lacustrine manganese deposits include: Closed lacustrine drainage basin, redox interface. Lacustrine manganese deposits, characterized by their formation in closed basin environments with a distinct chemical sedimentary origin, are particularly noteworthy among manganese ore types due to their unique depositional settings. These deposits are typically found in shallow, low-energy freshwater lake environments where manganese is precipitated from the water column at a redox interface, where the reduction of manganese oxides occurs. The physiography generally involves a flat or gently undulating lake basin that contributes to the trapping and accumulation of manganese sediments. Rock types associated with these deposits often include various mudstones and claystones, along with banded iron formations that may be present at depth. The ores are mainly composed of manganese oxides, with less common carbonate minerals. The grades and tonnages of these deposits can vary significantly, but they often present lower manganese concentrations when compared to supergene enrichment or hydrothermal manganese sources. Structurally, the deposits lack the intense deformations seen in orogenic settings, typically forming in stable continental interiors under tectonically passive conditions. The age of mineralization varies widely but commonly corresponds to periods of enhanced continental weathering and lake formation in geological history. This type of deposit's distinctive feature is its sedimentary-lacustrine origin, contrasting sharply with marine or hydrothermally-influenced manganese deposits, offering a different suite of challenges and opportunities in mining and mineral exploration.Lacustrine manganese type mineral deposits are also known as USGS deposit model number 40b. Lacustrine manganese type mineral deposits are also known as Opal in cavities in igneous rocks. ",Basin chemical,Manganese
69,Unconformity-related uranium,"Unconformity-related ura-nium deposits belong to the general deposit group of Unconformity-related deposits. The deposit environment is typically Basin hydrothermal. Genetically related features of typical Unconformity-related ura-nium deposits include: Unconformity, epicontinental basin fill, arid climate, evaporites, basin brine, extensional faults, alkali and magnesium metasomatism. Unconformity-related uranium deposits, characterized by their unique positioning at the interface between basement rocks and overlying sedimentary cover, distinguish themselves within the mineable uranium sources due to specific genetic and environmental settings. These deposits are typically found in areas where old Precambrian crystalline rocks meet younger Proterozoic sedimentary sequences, indicative of significant tectonic reactivation and fluid migration facilitated by basin-related hydrothermal systems. The ore forms in structurally controlled zones often linked with reactivated faults that enable the circulation of uranium-bearing fluids from the basin into reactive host structures in the basement. Alteration halos featuring intense clay mineralization, desilicification, and hematization are commonplace around these deposits. Ore grades can be exceptionally high, frequently between 1-20% U3O8, encapsulated in a mix of uraninite and coffinite minerals among other uranium phases. These deposits are not only significant for their high-grade ore but also for considerable tonnages, making them economically pivotal. Key tectonic settings involve ancient continental crustal regions subjected to episodic rifting, leading to the creation of permeable pathways necessary for fluid migration and mineralization. The distinction of these deposits from other uranium types primarily lies in their spatial association with unconformities, a feature that governs the principal mechanisms of ore deposition and presents unique exploration targets.",Basin hydrothermal,Unconformity-related
70,Unconformity-related REE,"Unconformity-related REE deposits belong to the general deposit group of Unconformity-related deposits. The deposit environment is typically Basin hydrothermal. Genetically related features of typical Unconformity-related REE deposits include: Unconformity, epicontinental basin fill, arid climate, evaporites, basin brine, extensional faults, alkali and magnesium metasomatism. Unconformity-related REE (Rare Earth Element) deposits distinguish themselves primarily through their association with distinct geological interfaces between differing rock units, typically where younger sedimentary layers rest unconformably upon older, altered basement rocks within epicontinental basins. These deposits are usually found in settings characterized by extensional faults that facilitate the movement of mineral-rich hydrothermal fluids. Key features encompass rock types such as clastic sediments interspersed with evaporites, reflecting an arid climate genesis. REE mineralization in these settings is often linked with alkali and magnesium metasomatism, transforming the basement rocks and adjacent basin fill. The ore types in these environments tend to involve a complex mix of carbonates, oxides, and occasionally phosphates, where REEs are concentrated significantly enough to form economic deposits. These deposits might not deliver the exceptionally high grades seen in some other REE deposit types but are noteworthy for their potentially extensive tonnage and broad distribution. The age of mineralization can vary widely but mostly correlates with the tectonic reactivation episodes impacting the basin. Physiographic context generally features relatively flat to gently undulating terrain. Unconformity-related REE deposits are especially significant for their contribution to the diversification of sources for these critical elements, primarily used in high-tech industries, which are otherwise dominated by carbonatite and peralkaline igneous sources.

",Basin hydrothermal,Unconformity-related
